 t  , CL , CS , CE , CIS, CIA, CH , CR , CD , CV 
 .000000000, .000000000, .729866143, .000670330, .000092830, .001209860, .000134158, .266125939, .001900740, .000000000
 1.000000000, .000000000, .727556891, .000767593, .000082989, .001137967, .000092981, .264901611, .001903993, .003555975
 2.000000000, .000000000, .725280401, .000836176, .000077424, .001090103, .000067454, .263656974, .001906589, .007084879
 3.000000000, .000000000, .723031680, .000885315, .000074518, .001058813, .000051715, .262402129, .001908788, .010587043
 4.000000000, .000000000, .720807318, .000921271, .000073239, .001039001, .000042091, .261143592, .001910751, .014062737
 5.000000000, .000000000, .718604968, .000948293, .000072933, .001027172, .000036282, .259885577, .001912578, .017512197
 6.000000000, .000000000, .716422993, .000969265, .000073191, .001020930, .000032847, .258630808, .001914331, .020935635
 7.000000000, .000000000, .714260236, .000986151, .000073763, .001018622, .000030882, .257381049, .001916048, .024333248
 8.000000000, .000000000, .712115859, .001000291, .000074498, .001019110, .000029823, .256137438, .001917752, .027705229
 9.000000000, .000000000, .709989245, .001012599, .000075305, .001021606, .000029317, .254900711, .001919457, .031051761
 10.000000000, .000000000, .707879918, .001023699, .000076136, .001025564, .000029145, .253671341, .001921169, .034373027
 11.000000000, .000000000, .705787506, .001034022, .000076964, .001030604, .000029173, .252449631, .001922894, .037669205
 12.000000000, .000000000, .703711701, .001043864, .000077778, .001036462, .000029317, .251235772, .001924634, .040940473
 13.000000000, .000000000, .701652241, .001053428, .000078573, .001042952, .000029527, .250029885, .001926390, .044187004
 14.000000000, .000000000, .699608896, .001062856, .000079351, .001049946, .000029774, .248832043, .001928163, .047408972
 15.000000000, .000000000, .697581457, .001072247, .000080115, .001057352, .000030040, .247642288, .001929952, .050606549
 16.000000000, .000000000, .695569731, .001081670, .000080868, .001065107, .000030315, .246460646, .001931758, .053779904
 17.000000000, .000000000, .693573534, .001091176, .000081615, .001073167, .000030595, .245287128, .001933581, .056929205
 18.000000000, .000000000, .691592691, .001100798, .000082359, .001081501, .000030876, .244121737, .001935420, .060054618
 19.000000000, .000000000, .689627031, .001110562, .000083104, .001090087, .000031159, .242964472, .001937277, .063156308
 20.000000000, .000000000, .687676390, .001120488, .000083852, .001098910, .000031442, .241815331, .001939150, .066234437
 21.000000000, .000000000, .685740603, .001130589, .000084606, .001107961, .000031727, .240674307, .001941040, .069289166
 22.000000000, .000000000, .683819512, .001140877, .000085369, .001117233, .000032013, .239541393, .001942947, .072320655
 23.000000000, .000000000, .681912957, .001151360, .000086142, .001126723, .000032302, .238416584, .001944872, .075329061
 24.000000000, .000000000, .680020782, .001162044, .000086926, .001136428, .000032595, .237299873, .001946813, .078314539
 25.000000000, .000000000, .678142834, .001172937, .000087722, .001146348, .000032891, .236191253, .001948773, .081277243
 26.000000000, .000000000, .676278957, .001184044, .000088532, .001156483, .000033191, .235090717, .001950750, .084217325
