 t , uL, uV
 .000000000, -.000225433, .004279465
 1.000000000, -.000225433, .004279465
 2.000000000, -.000225433, .004279465
 3.000000000, -.000225433, .004279465
 4.000000000, .000846884, .004279465
 5.000000000, .000846884, .004279465
 6.000000000, .000846884, .004279465
 7.000000000, .000846884, .004279465
 8.000000000, -.000458902, .004279465
 9.000000000, -.000458902, .004279465
 10.000000000, -.000458902, .004279465
 11.000000000, -.000458902, .004279465
 12.000000000, -.002736452, .004279465
 13.000000000, -.002736452, .004279465
 14.000000000, -.002736452, .004279465
 15.000000000, -.002736452, .004279465
 16.000000000, .001713281, .004279465
 17.000000000, .001713281, .004279465
 18.000000000, .001713281, .004279465
 19.000000000, .001713281, .004279465
 20.000000000, .002668062, .004279465
 21.000000000, .002668062, .004279465
 22.000000000, .002668062, .004279465
 23.000000000, .002668062, .004279465
 24.000000000, .003346147, .004279465
 25.000000000, .003346147, .004279465
 26.000000000, .003346147, .004279465
 27.000000000, .003346147, .004279465
 28.000000000, -.000830345, .004279465
 29.000000000, -.000830345, .004279465
 30.000000000, -.000830345, .004279465
 31.000000000, -.000830345, .004279465
 32.000000000, .001689533, .004279465
 33.000000000, .001689533, .004279465
 34.000000000, .001689533, .004279465
 35.000000000, .001689533, .004279465
 36.000000000, -.002138405, .004279465
 37.000000000, -.002138405, .004279465
 38.000000000, -.002138405, .004279465
 39.000000000, -.002138405, .004279465
 40.000000000, .003837110, .004279465
 41.000000000, .003837110, .004279465
 42.000000000, .003837110, .004279465
 43.000000000, .003837110, .004279465
 44.000000000, -.002739386, .004279465
 45.000000000, -.002739386, .004279465
 46.000000000, -.002739386, .004279465
 47.000000000, -.002739386, .004279465
 48.000000000, .000920695, .004279465
 49.000000000, .000920695, .004279465
 50.000000000, .000920695, .004279465
 51.000000000, .000920695, .004279465
 52.000000000, -.000824225, .004279465
 53.000000000, -.000824225, .004279465
 54.000000000, -.000824225, .004279465
 55.000000000, -.000824225, .004279465
 56.000000000, -.002396648, .004279465
 57.000000000, -.002396648, .004279465
 58.000000000, -.002396648, .004279465
 59.000000000, -.002396648, .004279465
 60.000000000, .003792700, .004279465
 61.000000000, .003792700, .004279465
 62.000000000, .003792700, .004279465
 63.000000000, .003792700, .004279465
 64.000000000, .001639244, .004279465
 65.000000000, .001639244, .004279465
 66.000000000, .001639244, .004279465
 67.000000000, .001639244, .004279465
 68.000000000, -.001909375, .004279465
 69.000000000, -.001909375, .004279465
 70.000000000, -.001909375, .004279465
 71.000000000, -.001909375, .004279465
 72.000000000, .002354250, .004279465
 73.000000000, .002354250, .004279465
 74.000000000, .002354250, .004279465
 75.000000000, .002354250, .004279465
 76.000000000, .003073018, .004279465
 77.000000000, .003073018, .004279465
 78.000000000, .003073018, .004279465
 79.000000000, .003073018, .004279465
 80.000000000, .000866317, .004279465
 81.000000000, .000866317, .004279465
 82.000000000, .000866317, .004279465
 83.000000000, .000866317, .004279465
 84.000000000, -.001378366, .004279465
 85.000000000, -.001378366, .004279465
 86.000000000, -.001378366, .004279465
 87.000000000, -.001378366, .004279465
 88.000000000, .003145559, .004279465
 89.000000000, .003145559, .004279465
 90.000000000, .003145559, .004279465
 91.000000000, .003145559, .004279465
 92.000000000, -.001611209, .004279465
 93.000000000, -.001611209, .004279465
 94.000000000, -.001611209, .004279465
 95.000000000, -.001611209, .004279465
 96.000000000, .002962100, .004279465
 97.000000000, .002962100, .004279465
 98.000000000, .002962100, .004279465
 99.000000000, .002962100, .004279465
 100.000000000, .003483505, .004279465
 101.000000000, .003483505, .004279465
 102.000000000, .003483505, .004279465
 103.000000000, .003483505, .004279465
 104.000000000, -.000379053, .004279465
 105.000000000, -.000379053, .004279465
 106.000000000, -.000379053, .004279465
 107.000000000, -.000379053, .004279465
 108.000000000, -.002053095, .004279465
 109.000000000, -.002053095, .004279465
 110.000000000, -.002053095, .004279465
 111.000000000, -.002053095, .004279465
 112.000000000, -.000440660, .004279465
 113.000000000, -.000440660, .004279465
 114.000000000, -.000440660, .004279465
 115.000000000, -.000440660, .004279465
 116.000000000, -.000118662, .004279465
 117.000000000, -.000118662, .004279465
 118.000000000, -.000118662, .004279465
 119.000000000, -.000118662, .004279465
 120.000000000, .000116665, .004279465
 121.000000000, .000116665, .004279465
 122.000000000, .000116665, .004279465
 123.000000000, .000116665, .004279465
 124.000000000, .002360673, .004279465
 125.000000000, .002360673, .004279465
 126.000000000, .002360673, .004279465
 127.000000000, .002360673, .004279465
 128.000000000, -.001991345, .004279465
 129.000000000, -.001991345, .004279465
 130.000000000, -.001991345, .004279465
 131.000000000, -.001991345, .004279465
 132.000000000, -.000039474, .004279465
 133.000000000, -.000039474, .004279465
 134.000000000, -.000039474, .004279465
 135.000000000, -.000039474, .004279465
 136.000000000, .002878826, .004279465
 137.000000000, .002878826, .004279465
 138.000000000, .002878826, .004279465
 139.000000000, .002878826, .004279465
 140.000000000, -.001184389, .004279465
 141.000000000, -.001184389, .004279465
 142.000000000, -.001184389, .004279465
 143.000000000, -.001184389, .004279465
 144.000000000, .000712567, .004279465
 145.000000000, .000712567, .004279465
 146.000000000, .000712567, .004279465
 147.000000000, .000712567, .004279465
 148.000000000, -.002826996, .004279465
 149.000000000, -.002826996, .004279465
 150.000000000, -.002826996, .004279465
 151.000000000, -.002826996, .004279465
 152.000000000, -.000754988, .004279465
 153.000000000, -.000754988, .004279465
 154.000000000, -.000754988, .004279465
 155.000000000, -.000754988, .004279465
 156.000000000, .000753432, .004279465
 157.000000000, .000753432, .004279465
 158.000000000, .000753432, .004279465
 159.000000000, .000753432, .004279465
 160.000000000, .002236359, .004279465
 161.000000000, .002236359, .004279465
 162.000000000, .002236359, .004279465
 163.000000000, .002236359, .004279465
 164.000000000, -.001289249, .004279465
 165.000000000, -.001289249, .004279465
 166.000000000, -.001289249, .004279465
 167.000000000, -.001289249, .004279465
 168.000000000, .001674998, .004279465
 169.000000000, .001674998, .004279465
 170.000000000, .001674998, .004279465
 171.000000000, .001674998, .004279465
 172.000000000, -.002021804, .004279465
 173.000000000, -.002021804, .004279465
 174.000000000, -.002021804, .004279465
 175.000000000, -.002021804, .004279465
 176.000000000, .003133800, .004279465
 177.000000000, .003133800, .004279465
 178.000000000, .003133800, .004279465
 179.000000000, .003133800, .004279465
 180.000000000, .003201211, .004279465
 181.000000000, .003201211, .004279465
 182.000000000, .003201211, .004279465
 183.000000000, .003201211, .004279465
 184.000000000, .000644145, .004279465
 185.000000000, .000644145, .004279465
 186.000000000, .000644145, .004279465
 187.000000000, .000644145, .004279465
 188.000000000, -.000475928, .004279465
 189.000000000, -.000475928, .004279465
 190.000000000, -.000475928, .004279465
 191.000000000, -.000475928, .004279465
 192.000000000, .002868142, .004279465
 193.000000000, .002868142, .004279465
 194.000000000, .002868142, .004279465
 195.000000000, .002868142, .004279465
 196.000000000, .002073658, .004279465
 197.000000000, .002073658, .004279465
 198.000000000, .002073658, .004279465
 199.000000000, .002073658, .004279465
 200.000000000, -.000453989, .004279465
 201.000000000, -.000453989, .004279465
 202.000000000, -.000453989, .004279465
 203.000000000, -.000453989, .004279465
 204.000000000, .001148435, .004279465
 205.000000000, .001148435, .004279465
 206.000000000, .001148435, .004279465
 207.000000000, .001148435, .004279465
 208.000000000, .001196770, .004279465
 209.000000000, .001196770, .004279465
 210.000000000, .001196770, .004279465
 211.000000000, .001196770, .004279465
 212.000000000, -.000596457, .004279465
 213.000000000, -.000596457, .004279465
 214.000000000, -.000596457, .004279465
 215.000000000, -.000596457, .004279465
 216.000000000, .000081522, .004279465
 217.000000000, .000081522, .004279465
 218.000000000, .000081522, .004279465
 219.000000000, .000081522, .004279465
 220.000000000, .002237817, .004273465
 221.000000000, .002237817, .004273465
 222.000000000, .002237817, .004273465
 223.000000000, .002237817, .004273465
 224.000000000, .001535618, .004184714
 225.000000000, .001535618, .004184714
 226.000000000, .001535618, .004184714
 227.000000000, .001535618, .004184714
 228.000000000, .001078699, .004089648
 229.000000000, .001078699, .004089648
 230.000000000, .001078699, .004089648
 231.000000000, .001078699, .004089648
 232.000000000, -.000142838, .003987206
 233.000000000, -.000142838, .003987206
 234.000000000, -.000142838, .003987206
 235.000000000, -.000142838, .003987206
 236.000000000, .001475767, .003878052
 237.000000000, .001475767, .003878052
 238.000000000, .001475767, .003878052
 239.000000000, .001475767, .003878052
 240.000000000, -.000359955, .003762035
 241.000000000, -.000359955, .003762035
 242.000000000, -.000359955, .003762035
 243.000000000, -.000359955, .003762035
 244.000000000, .002460119, .003639096
 245.000000000, .002460119, .003639096
 246.000000000, .002460119, .003639096
 247.000000000, .002460119, .003639096
 248.000000000, .001628891, .003510214
 249.000000000, .001628891, .003510214
 250.000000000, .001628891, .003510214
 251.000000000, .001628891, .003510214
 252.000000000, .001746977, .003375036
 253.000000000, .001746977, .003375036
 254.000000000, .001746977, .003375036
 255.000000000, .001746977, .003375036
 256.000000000, .001227919, .003234544
 257.000000000, .001227919, .003234544
 258.000000000, .001227919, .003234544
 259.000000000, .001227919, .003234544
 260.000000000, .003646907, .003088546
 261.000000000, .003646907, .003088546
 262.000000000, .003646907, .003088546
 263.000000000, .003646907, .003088546
 264.000000000, .000427254, .002937745
 265.000000000, .000427254, .002937745
 266.000000000, .000427254, .002937745
 267.000000000, .000427254, .002937745
 268.000000000, .002751506, .002782889
 269.000000000, .002751506, .002782889
 270.000000000, .002751506, .002782889
 271.000000000, .002751506, .002782889
 272.000000000, .002935119, .002624751
 273.000000000, .002935119, .002624751
 274.000000000, .002935119, .002624751
 275.000000000, .002935119, .002624751
 276.000000000, -.002063551, .002463466
 277.000000000, -.002063551, .002463466
 278.000000000, -.002063551, .002463466
 279.000000000, -.002063551, .002463466
 280.000000000, .003936285, .002300314
 281.000000000, .003936285, .002300314
 282.000000000, .003936285, .002300314
 283.000000000, .003936285, .002300314
 284.000000000, -.002659796, .002135082
 285.000000000, -.002659796, .002135082
 286.000000000, -.002659796, .002135082
 287.000000000, -.002659796, .002135082
 288.000000000, .003861575, .001970099
 289.000000000, .003861575, .001970099
 290.000000000, .003861575, .001970099
 291.000000000, .003861575, .001970099
 292.000000000, -.002823883, .001804701
 293.000000000, -.002823883, .001804701
 294.000000000, -.002823883, .001804701
 295.000000000, -.002823883, .001804701
 296.000000000, .000716694, .001640947
 297.000000000, .000716694, .001640947
 298.000000000, .000716694, .001640947
 299.000000000, .000716694, .001640947
 300.000000000, .002515628, .001478826
 301.000000000, .002515628, .001478826
 302.000000000, .002515628, .001478826
 303.000000000, .002515628, .001478826
 304.000000000, .003713863, .001320274
 305.000000000, .003713863, .001320274
 306.000000000, .003713863, .001320274
 307.000000000, .003713863, .001320274
 308.000000000, -.001330518, .001165164
 309.000000000, -.001330518, .001165164
 310.000000000, -.001330518, .001165164
 311.000000000, -.001330518, .001165164
 312.000000000, .003843973, .001015336
 313.000000000, .003843973, .001015336
 314.000000000, .003843973, .001015336
 315.000000000, .003843973, .001015336
 316.000000000, .002129390, .000871767
 317.000000000, .002129390, .000871767
 318.000000000, .002129390, .000871767
 319.000000000, .002129390, .000871767
 320.000000000, -.002082376, .000734825
 321.000000000, -.002082376, .000734825
 322.000000000, -.002082376, .000734825
 323.000000000, -.002082376, .000734825
 324.000000000, .001405313, .000606347
 325.000000000, .001405313, .000606347
 326.000000000, .001405313, .000606347
 327.000000000, .001405313, .000606347
 328.000000000, .000207372, .000487225
 329.000000000, .000207372, .000487225
 330.000000000, .000207372, .000487225
 331.000000000, .000207372, .000487225
 332.000000000, .004176600, .000378126
 333.000000000, .004176600, .000378126
 334.000000000, .004176600, .000378126
 335.000000000, .004176600, .000378126
 336.000000000, -.001084344, .000280592
 337.000000000, -.001084344, .000280592
 338.000000000, -.001084344, .000280592
 339.000000000, -.001084344, .000280592
 340.000000000, .002217073, .000195395
 341.000000000, .002217073, .000195395
 342.000000000, .002217073, .000195395
 343.000000000, .002217073, .000195395
 344.000000000, .000770119, .000123665
 345.000000000, .000770119, .000123665
 346.000000000, .000770119, .000123665
 347.000000000, .000770119, .000123665
 348.000000000, .001406710, .000066599
 349.000000000, .001406710, .000066599
 350.000000000, .001406710, .000066599
 351.000000000, .001406710, .000066599
 352.000000000, -.001430315, .000026039
 353.000000000, -.001430315, .000026039
 354.000000000, -.001430315, .000026039
 355.000000000, -.001430315, .000026039
 356.000000000, .002165688, .000003527
 357.000000000, .002165688, .000003527
 358.000000000, .002165688, .000003527
 359.000000000, .002165688, .000003527
 360.000000000, .002165688, .000003527
