"time","L","S","E","I_S","I_A","H","R","D"
0.,0.,0.729866143,0.00067033,0.00009283,0.00120986,0.00013415796900000001,0.26612593900000003,0.00190074,""
0.5,0.,0.7304883320915544,0.0007233150087943053,0.00008792774064902902,0.0011703439830345593,0.00013404550255495648,0.2654942010268571,0.0019018346155557,""
1.,0.,0.7311125080665554,0.0007678002890127816,0.00008422508838800686,0.0011379906180154,0.00013352891766408534,0.2648610204238393,0.0019029265655251585,""
1.5,0.,0.7317379347896483,0.0008052569381100332,0.00008147701197448765,0.0011116079650004072,0.0001327371031133467,0.26422697306940723,0.0019040130917461061,""
2.,0.,0.7323639982510659,0.0008369251743569988,0.00007948259461316492,0.0010901867348019293,0.00013177060722352992,0.26359254424030204,0.0019050923666363408,""
2.5,0.,0.7329901952393485,0.0008638229384796669,0.00007808147985717244,0.0010728952274896143,0.00013070548522838108,0.26295813630377596,0.0019061632948206716,""
3.,0.,0.7336161123371373,0.0008867878736165528,0.0000771456985691547,0.0010590461447503713,0.00012959863841991532,0.26232408394426826,0.0019072253322383545,""
3.5,0.,0.7342414097660992,0.0009065095362723102,0.00007657327661198015,0.0010480712722956847,0.00012849208782690684,0.26169066569338895,0.0019082783365048398,""
4.,0.,0.7348658027019269,0.0009235667677554686,0.00007628110331428105,0.0010394918699198113,0.00012741753190651013,0.2610581175768478,0.001909322417328969,""
4.5,0.,0.735489060019246,0.0009384302899193591,0.00007620452534951026,0.0010329164669501114,0.0001263965304310367,0.26042663420284534,0.0019103579342583746,""
5.,0.,0.7361109908802299,0.0009514895058043267,0.00007629227293280004,0.0010280196389653832,0.00012544372266360513,0.25979637855617294,0.0019113853922308197,""
5.5,0.,0.7367314387375401,0.0009630644762144516,0.00007650414469156541,0.0010245325450503472,0.0001245683324620387,0.259167486342208,0.0019124053908332241,""
6.,0.,0.7373502740361748,0.0009734206251787544,0.00007680852387828646,0.00102223103396416,0.00012377550987120967,0.25854007164737414,0.0019134185925583783,""
6.5,0.,0.7379673898271026,0.0009827774296539927,0.00007718054691135353,0.0010209289026318832,0.00012306764157460126,0.25791422994849583,0.0019144256726294456,""
7.,0.,0.7385826935247047,0.000991325122230238,0.00007759949345582802,0.0010204642082690856,0.00012244557344625058,0.2572900447456671,0.001915427301226575,""
7.5,0.,0.7391961163710036,0.0009992056489765307,0.00007805205335380798,0.0010207146003323206,0.00012190680482359829,0.25666758030201364,0.0019164241884963263,""
8.,0.,0.7398075979401385,0.0010065438466130606,0.00007852701686755656,0.0010215721821069698,0.00012144839610125124,0.2560468935736687,0.001917417013503738,""
8.5,0.,0.7404170897268538,0.0010134401123845734,0.00007901629738380632,0.0010229496093688121,0.00012106660989612569,0.25542803119200835,0.0019184064211043162,""
9.,0.,0.741024550128809,0.0010199806079080834,0.00007951345760958519,0.0010247716587903908,0.00012075748905459452,0.25481103360558943,0.001919393021238753,""
9.5,0.,0.741629943950412,0.0010262381954009706,0.00008001342460489787,0.0010269745756591063,0.00012051712511302957,0.2541959353220982,0.001920377375711461,""
10.,0.,0.7422332435301648,0.001032270308932416,0.00008051315627891795,0.001029507500988322,0.00012034102661587409,0.2535827644167392,0.0019213600292802033,""
10.5,0.,0.7428344254832855,0.0010381255014467873,0.00008101053760857625,0.0010323272096691763,0.00012022471522272437,0.25297154502618185,0.0019223414955851514,""
11.,0.,0.7434334708420542,0.0010438430490052521,0.00008150424528932993,0.0010353986058662288,0.00012016398338778062,0.2523622970034269,0.0019233222399700617,""
11.5,0.,0.7440303633798915,0.0010494565314115131,0.00008199355819560252,0.0010386914697562027,0.00012015462422422052,0.2517550376973758,0.0019243027081449196,""
12.,0.,0.7446250890176789,0.001054994869753736,0.00008247793070134656,0.0010421798686941488,0.00012019289162823108,0.251149782088943,0.0019252833016004248,""
12.5,0.,0.7452176369987665,0.0010604800028266575,0.00008295742427067367,0.001045843971373659,0.00012027522992023791,0.25054654195566084,0.0019262643861812122,""
13.,0.,0.7458079970634789,0.0010659327335711302,0.00008343211507223937,0.0010496650106909871,0.00012039824453833783,0.24994532848796885,0.001927246313679398,""
13.5,0.,0.7463961615512875,0.0010713682956756828,0.0000839024462154888,0.0010536291901931184,0.00012055887011477127,0.24934615021915907,0.0019282293963541447,""
14.,0.,0.7469821232878822,0.0010768008404498219,0.00008436889458062125,0.001057723713577223,0.00012075416230182036,0.24874901513498754,0.0019292139352206587,""
14.5,0.,0.7475658763486329,0.001082241697389233,0.00008483198800437768,0.0010619384234807285,0.00012098154940917562,0.2481539297637255,0.0019302001983578468,""
15.,0.,0.7481474156562947,0.0010877003652745463,0.00008529236539661993,0.001066264805729371,0.00012123858281580523,0.24756089975356474,0.0019311884399240734,""
15.5,0.,0.7487267365766128,0.0010931852184987681,0.00008575060114886491,0.0010706954767093794,0.00012152309378976164,0.24696993010950996,0.0019321788927302308,""
16.,0.,0.7493038353506247,0.0010987026789519116,0.00008620733600561523,0.0010752248523898734,0.00012183312493609651,0.24638102485638014,0.0019331717697114851,""
16.5,0.,0.749878708402705,0.0011042585850424421,0.00008666314273168768,0.0010798479739013564,0.00012216692343097686,0.2457941876722671,0.0019341672689212875,""
17.,0.,0.7504513525356031,0.001109857945247727,0.0000871186250092985,0.001084560643580595,0.0001225228209811251,0.2452094218182652,0.0019351655803127958,""
17.5,0.,0.7510217647145971,0.001115505339423581,0.00008757436785503824,0.0010893590923603108,0.00012289924881958965,0.24462673031980542,0.0019361668861387158,""
18.,0.,0.751589942356114,0.0011212039723493272,0.00008803082001412604,0.0010942410030885938,0.00012329508075468662,0.24404611540051857,0.0019371713361605325,""
18.5,0.,0.7521558826911175,0.0011269576140846653,0.00008848848625159709,0.0010992034617454533,0.00012370900865640692,0.24346757961364757,0.0019381790934965503,""
19.,0.,0.7527195832587155,0.0011327691489470097,0.0000889478326615498,0.0011042444446878502,0.00012413993464322496,0.24289112504424937,0.0019391903050953803,""
19.5,0.,0.7532810420362096,0.0011386401953368092,0.00008940926388403735,0.0011093632064637247,0.00012458707074905462,0.2423167531021603,0.001940205094196235,""
20.,0.,0.753840256721295,0.0011445731732462102,0.00008987322223590538,0.001114558193778167,0.00012504943490417172,0.24174446562462193,0.001941223598918538,""
20.5,0.,0.7543972251469692,0.001150569777643111,0.00009034004794373315,0.001119828667665894,0.00012552633819710182,0.24117426405396364,0.0019422459366172273,""
21.,0.,0.7549519451749177,0.00115663155122742,0.00009081005995025444,0.0011251740599923215,0.0001260171530134879,0.24060614974959554,0.0019432722203031867,""
21.5,0.,0.755504414334691,0.0011627604014299384,0.00009128363112873472,0.0011305935567296017,0.00012652112261788312,0.24004012434125316,0.0019443025811496592,""
22.,0.,0.7560546289299168,0.0011689584467425606,0.00009176114880530437,0.0011360868364927667,0.00012703752987142472,0.23947618989089323,0.0019453371862777683,""
22.5,0.,0.7566025883588995,0.0011752259850074376,0.00009224266512669782,0.0011416539042705565,0.00012756628456938863,0.23891434671009748,0.0019463760610287776,""
23.,0.,0.7571482920146301,0.0011815633257356334,0.00009272823678681175,0.0011472947467226025,0.00012810728828238334,0.23835459512588442,0.0019474192309580022,""
23.5,0.,0.7576917347734791,0.001187973081441764,0.00009321834232632258,0.0011530092512457926,0.00012865971018962612,0.23779693789854497,0.0019484669117722216,""
24.,0.,0.7582329154753974,0.0011944558436296153,0.00009371309009242189,0.001158797392345469,0.00012922336218359977,0.23724137565304132,0.0019495191523099674,""
24.5,0.,0.7587718335209387,0.001201011862224429,0.00009421252255145286,0.001164659214529676,0.0001297981800878383,0.23668790869398915,0.001950575974678551,""
25.,0.,0.759308483499432,0.0012076433930804094,0.00009471702300955129,0.0011705951195331808,0.00013038358463812069,0.23613653977088533,0.001951637578421129,""
25.5,0.,0.7598428641192869,0.0012143509746963838,0.00009522668296638258,0.0011766052032547794,0.00013097943755729073,0.235587269540067,0.0019527040111709908,""
26.,0.,0.7603749751731744,0.0012211346534706604,0.00009574150690465794,0.0011826895191332989,0.00013158574097569213,0.23504009809733994,0.001953775278001104,""
26.5,0.,0.7609048136352496,0.0012279952512599588,0.00009626159712433199,0.0011888487095959453,0.00013220243807544803,0.2344950268754472,0.001954851462247242,""
27.,0.,0.7614323760304531,0.0012349339668927244,0.00009678713609000616,0.0011950832702047971,0.00013282930870957426,0.23395205758064813,0.001955932676001402,""
27.5,0.,0.7619576591921179,0.0012419519579610194,0.00009731830667802601,0.0012013935906409576,0.0001334661126858762,0.23341119178332104,0.0019570190255949124,""
28.,0.,0.7624806599535771,0.001249050382056906,0.00009785529176473705,0.001207780060585529,0.00013411260981215927,0.23287243105384423,0.0019581106173591,""
28.5,0.,0.7630013751481637,0.0012562303967724464,0.00009839827422648482,0.0012142430697196151,0.00013476855989622892,0.23233577696259602,0.0019592075576252916,""
29.,0.,0.7635198016189464,0.001263493138486196,0.00009894743155321891,0.0012207830193357468,0.00013543373451303155,0.23180123107517736,0.0019603099509877438,""
29.5,0.,0.764035936557106,0.0012708389850695572,0.00009950274863967442,0.001227400725903056,0.0001361083259817469,0.23126879478636944,0.001961417839930258,""
30.,0.,0.7645497770888893,0.001278268455878948,0.00010006424630554356,0.0012340969284474136,0.00013679244813975764,0.2307384695228166,0.0019625312785221546,""
30.5,0.,0.765061320201398,0.0012857823734570895,0.00010063202235361719,0.001240872200042585,0.00013748604664687826,0.23021025677944232,0.001963650345659202,""
31.,0.,0.7655705628817339,0.0012933815603467023,0.00010120617458668615,0.001247727113762336,0.00013818906716292321,0.22968415805117007,0.00196477512023717,""
31.5,0.,0.7660775021169983,0.001301066839090507,0.00010178680080754128,0.0012546622426804325,0.00013890145534770705,0.22916017483292334,0.0019659056811518268,""
32.,0.,0.7665821348942319,0.001308839032219542,0.00010237399881462726,0.0012616781599004776,0.00013962315687480748,0.22863830861965992,0.001967042107298415,""
32.5,0.,0.7670844574427615,0.0013166988180739869,0.0001029678127624972,0.001268775806797902,0.00014035428729392333,0.2281185613302451,0.0019681844710647844,""
33.,0.,0.7675844657284913,0.0013246468248653506,0.00010356826815613812,0.0012759562527796726,0.00014109502121303327,0.22760093503091774,0.0019693328425764577,""
33.5,0.,0.7680821563051241,0.0013326837926616593,0.00010417543211495651,0.0012832202815647139,0.0001418454014581746,0.22708543145906904,0.0019704872970070886,""
34.,0.,0.7685775257263624,0.00134081046153094,0.0001047893717583589,0.0012905686768719506,0.00014260547085538457,0.2265720523520903,0.001971647909530329,""
34.5,0.,0.7690705705459091,0.0013490275715412187,0.00010541015420575176,0.0012980022224203071,0.0001433752722307005,0.22606079944737276,0.001972814755319832,""
35.,0.,0.7695612873174669,0.0013573358627605224,0.00010603784657654162,0.0013055217019287079,0.0001441548484101596,0.22555167448230767,0.001973987909549251,""
35.5,0.,0.7700496719446194,0.0013657362444514203,0.00010667253105186944,0.0013131278581581707,0.0001449442295074645,0.22504467970837191,0.001975167452839451,""
36.,0.,0.7705357194071489,0.0013742298662974748,0.00010731431121520459,0.0013208213756696063,0.00014574342757242464,0.22453981810754436,0.0019763534735516455,""
36.5,0.,0.7710194256546555,0.001382817625585462,0.00010796326818160038,0.0013286030001230821,0.00014655247361853693,0.2240370918949143,0.0019775460519211403,""
