"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","CL","CS","CE","CIS","CIA","CH","CR","CD","CV"
0.,0.,0.729866143,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0.
1.,0.,0.727556891,0.000767593,0.000082989,0.001137967,0.000092981,0.264901611,0.001903993,0.003555975
2.,0.,0.725280401,0.000836176,0.000077424,0.001090103,0.000067454,0.263656974,0.001906589,0.007084879
3.,0.,0.72303168,0.000885315,0.000074518,0.001058813,0.000051715,0.262402129,0.001908788,0.010587043
4.,0.,0.720807318,0.000921271,0.000073239,0.001039001,0.000042091,0.261143592,0.001910751,0.014062737
5.,0.,0.718604968,0.000948293,0.000072933,0.001027172,0.000036282,0.259885577,0.001912578,0.017512197
6.,0.,0.716422993,0.000969265,0.000073191,0.00102093,0.000032847,0.258630808,0.001914331,0.020935635
7.,0.,0.714260236,0.000986151,0.000073763,0.001018622,0.000030882,0.257381049,0.001916048,0.024333248
8.,0.,0.712115859,0.001000291,0.000074498,0.00101911,0.000029823,0.256137438,0.001917752,0.027705229
9.,0.,0.709989245,0.001012599,0.000075305,0.001021606,0.000029317,0.254900711,0.001919457,0.031051761
10.,0.,0.707879918,0.001023699,0.000076136,0.001025564,0.000029145,0.253671341,0.001921169,0.034373027
11.,0.,0.705787506,0.001034022,0.000076964,0.001030604,0.000029173,0.252449631,0.001922894,0.037669205
12.,0.,0.703711701,0.001043864,0.000077778,0.001036462,0.000029317,0.251235772,0.001924634,0.040940473
13.,0.,0.701652241,0.001053428,0.000078573,0.001042952,0.000029527,0.250029885,0.00192639,0.044187004
14.,0.,0.699608896,0.001062856,0.000079351,0.001049946,0.000029774,0.248832043,0.001928163,0.047408972
15.,0.,0.697581457,0.001072247,0.000080115,0.001057352,0.00003004,0.247642288,0.001929952,0.050606549
16.,0.,0.695569731,0.00108167,0.000080868,0.001065107,0.000030315,0.246460646,0.001931758,0.053779904
17.,0.,0.693573534,0.001091176,0.000081615,0.001073167,0.000030595,0.245287128,0.001933581,0.056929205
18.,0.,0.691592691,0.001100798,0.000082359,0.001081501,0.000030876,0.244121737,0.00193542,0.060054618
19.,0.,0.689627031,0.001110562,0.000083104,0.001090087,0.000031159,0.242964472,0.001937277,0.063156308
20.,0.,0.68767639,0.001120488,0.000083852,0.00109891,0.000031442,0.241815331,0.00193915,0.066234437
21.,0.,0.685740603,0.001130589,0.000084606,0.001107961,0.000031727,0.240674307,0.00194104,0.069289166
22.,0.,0.683819512,0.001140877,0.000085369,0.001117233,0.000032013,0.239541393,0.001942947,0.072320655
23.,0.,0.681912957,0.00115136,0.000086142,0.001126723,0.000032302,0.238416584,0.001944872,0.075329061
24.,0.,0.680020782,0.001162044,0.000086926,0.001136428,0.000032595,0.237299873,0.001946813,0.078314539
25.,0.,0.678142834,0.001172937,0.000087722,0.001146348,0.000032891,0.236191253,0.001948773,0.081277243
26.,0.,0.676278957,0.001184044,0.000088532,0.001156483,0.000033191,0.235090717,0.00195075,0.084217325
27.,0.,0.674429,0.001195368,0.000089357,0.001166834,0.000033496,0.233998262,0.001952746,0.087134937
28.,0.,0.672592812,0.001206915,0.000090196,0.001177403,0.000033807,0.232913881,0.00195476,0.090030225
29.,0.,0.670770244,0.001218689,0.000091051,0.001188192,0.000034122,0.231837571,0.001956793,0.092903338
30.,0.,0.668961146,0.001230694,0.000091922,0.001199203,0.000034443,0.230769326,0.001958846,0.095754419
31.,0.,0.66716537,0.001242934,0.00009281,0.001210438,0.000034771,0.229709145,0.001960918,0.098583613
32.,0.,0.66538277,0.001255412,0.000093715,0.001221902,0.000035104,0.228657025,0.00196301,0.101391061
33.,0.,0.6636132,0.001268133,0.000094638,0.001233597,0.000035444,0.227612963,0.001965123,0.104176903
34.,0.,0.661856515,0.001281101,0.000095578,0.001245525,0.00003579,0.226576959,0.001967256,0.106941276
35.,0.,0.660112571,0.001294318,0.000096536,0.001257691,0.000036142,0.225549011,0.001969411,0.109684318
36.,0.,0.658381225,0.001307791,0.000097513,0.001270098,0.000036502,0.224529121,0.001971587,0.112406163
37.,0.,0.656662335,0.001321521,0.000098509,0.001282749,0.000036868,0.223517288,0.001973785,0.115106944
38.,0.,0.654955759,0.001335514,0.000099524,0.001295648,0.000037242,0.222513514,0.001976006,0.117786793
39.,0.,0.653261357,0.001349774,0.000100559,0.001308798,0.000037623,0.221517802,0.00197825,0.120445839
40.,0.,0.65157899,0.001364304,0.000101613,0.001322204,0.000038011,0.220530153,0.001980516,0.123084209
41.,0.,0.649908517,0.001379109,0.000102687,0.00133587,0.000038406,0.219550573,0.001982807,0.125702031
42.,0.,0.648249802,0.001394194,0.000103782,0.001349798,0.000038809,0.218579064,0.001985122,0.128299428
43.,0.,0.646602708,0.001409562,0.000104898,0.001363994,0.00003922,0.217615632,0.001987461,0.130876525
44.,0.,0.644967096,0.001425219,0.000106034,0.001378462,0.000039639,0.216660284,0.001989826,0.133433441
45.,0.,0.643342832,0.001441168,0.000107193,0.001393205,0.000040065,0.215713024,0.001992216,0.135970297
46.,0.,0.64172978,0.001457415,0.000108373,0.001408228,0.0000405,0.214773862,0.001994633,0.13848721
47.,0.,0.640127807,0.001473963,0.000109575,0.001423536,0.000040942,0.213842804,0.001997076,0.140984297
48.,0.,0.638536777,0.001490819,0.000110799,0.001439132,0.000041394,0.212919861,0.001999546,0.143461672
49.,0.,0.636956559,0.001507986,0.000112047,0.001455022,0.000041853,0.21200504,0.002002043,0.145919449
50.,0.,0.63538702,0.00152547,0.000113317,0.00147121,0.000042321,0.211098354,0.002004569,0.148357739
51.,0.,0.633828028,0.001543276,0.000114612,0.0014877,0.000042798,0.210199813,0.002007124,0.15077665
52.,0.,0.632279452,0.001561408,0.00011593,0.001504498,0.000043284,0.209309429,0.002009707,0.153176293
53.,0.,0.630741161,0.001579872,0.000117272,0.001521607,0.000043779,0.208427216,0.002012321,0.155556772
54.,0.,0.629213026,0.001598673,0.000118639,0.001539034,0.000044283,0.207553187,0.002014964,0.157918194
55.,0.,0.627694918,0.001617817,0.000120032,0.001556783,0.000044796,0.206687357,0.002017638,0.16026066
56.,0.,0.626186707,0.001637308,0.000121449,0.001574859,0.000045318,0.205829741,0.002020344,0.162584272
57.,0.,0.624688266,0.001657153,0.000122893,0.001593268,0.000045851,0.204980356,0.002023082,0.164889131
58.,0.,0.623199466,0.001677357,0.000124363,0.001612014,0.000046393,0.20413922,0.002025852,0.167175335
59.,0.,0.621720182,0.001697925,0.00012586,0.001631103,0.000046944,0.20330635,0.002028656,0.169442981
60.,0.,0.620250285,0.001718864,0.000127384,0.00165054,0.000047506,0.202481766,0.002031493,0.171692162
61.,0.,0.618789651,0.001740178,0.000128935,0.001670331,0.000048078,0.201665487,0.002034364,0.173922974
62.,0.,0.617338154,0.001761875,0.000130514,0.001690481,0.000048661,0.200857535,0.002037271,0.176135508
63.,0.,0.615895669,0.001783959,0.000132122,0.001710996,0.000049254,0.200057932,0.002040213,0.178329855
64.,0.,0.614462071,0.001806437,0.000133759,0.001731882,0.000049858,0.1992667,0.002043191,0.180506102
65.,0.,0.613037236,0.001829316,0.000135425,0.001753145,0.000050472,0.198483864,0.002046206,0.182664336
66.,0.,0.61162104,0.0018526,0.000137121,0.00177479,0.000051098,0.197709448,0.002049259,0.184804645
67.,0.,0.610213361,0.001876297,0.000138847,0.001796823,0.000051735,0.196943478,0.00205235,0.18692711
68.,0.,0.608814075,0.001900413,0.000140604,0.00181925,0.000052383,0.19618598,0.00205548,0.189031815
69.,0.,0.60742306,0.001924955,0.000142392,0.001842078,0.000053043,0.195436983,0.002058649,0.19111884
70.,0.,0.606040195,0.001949928,0.000144211,0.001865313,0.000053714,0.194696515,0.002061859,0.193188264
