"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","NCL","NCS","NCE","NCIS","NCIA","NCH","NCR","NCD","NCV"
0.,0.,0.729866143,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0.
1.,0.,0.730667368,0.00076764,0.000082989,0.00113797,0.000092981,0.264901611,0.001903993,0.000445448
2.,0.,0.731475687,0.000836348,0.000077426,0.001090122,0.000067455,0.263656976,0.00190659,0.000889397
3.,0.,0.732286424,0.000885674,0.000074525,0.001058871,0.000051716,0.262402137,0.001908788,0.001331864
4.,0.,0.733096428,0.00092187,0.000073254,0.001039125,0.000042093,0.261143617,0.001910751,0.001772861
5.,0.,0.733903574,0.000949179,0.000072959,0.001027396,0.000036287,0.259885634,0.001912579,0.002212393
6.,0.,0.734706428,0.000970485,0.000073232,0.001021286,0.000032855,0.258630919,0.001914333,0.002650462
7.,0.,0.73550402,0.000987751,0.000073823,0.001019147,0.000030895,0.257381242,0.001916051,0.003087072
8.,0.,0.736295696,0.001002315,0.000074578,0.001019842,0.000029841,0.256137749,0.001917756,0.003522223
9.,0.,0.737081012,0.001015092,0.000075411,0.001022584,0.000029342,0.254901182,0.001919462,0.003955915
10.,0.,0.737859666,0.001026708,0.00007627,0.001026828,0.000029179,0.253672023,0.001921177,0.004388149
11.,0.,0.738631455,0.001037594,0.00007713,0.001032196,0.000029216,0.25245058,0.001922905,0.004818925
12.,0.,0.739396237,0.001048045,0.000077979,0.001038423,0.000029371,0.251237054,0.001924649,0.005248242
13.,0.,0.740153916,0.001058266,0.000078814,0.001045327,0.000029594,0.250031572,0.001926409,0.005676101
14.,0.,0.740904426,0.001068401,0.000079634,0.001052779,0.000029854,0.248834216,0.001928187,0.006102502
15.,0.,0.741647719,0.001078548,0.000080444,0.001060689,0.000030135,0.247645037,0.001929983,0.006527444
16.,0.,0.742383761,0.001088779,0.000081248,0.001068994,0.000030427,0.246464067,0.001931797,0.006950927
17.,0.,0.743112526,0.001099143,0.000082048,0.001077652,0.000030725,0.245291327,0.001933628,0.007372951
18.,0.,0.743833995,0.001109677,0.00008285,0.001086631,0.000031025,0.244126828,0.001935478,0.007793515
19.,0.,0.744548153,0.001120408,0.000083656,0.001095912,0.000031328,0.242970579,0.001937345,0.008212619
20.,0.,0.745254984,0.001131354,0.00008447,0.001105481,0.000031634,0.241822583,0.001939231,0.008630263
21.,0.,0.745954476,0.001142532,0.000085294,0.001115329,0.000031942,0.240682846,0.001941135,0.009046445
22.,0.,0.746646618,0.001153954,0.00008613,0.001125451,0.000032254,0.239551368,0.001943058,0.009461167
23.,0.,0.747331397,0.00116563,0.000086981,0.001135844,0.00003257,0.238428153,0.001944999,0.009874426
24.,0.,0.748008801,0.001177568,0.000087847,0.001146507,0.000032891,0.237313204,0.00194696,0.010286221
25.,0.,0.748678818,0.001189776,0.000088731,0.001157441,0.000033217,0.236206523,0.00194894,0.010696554
26.,0.,0.749341435,0.00120226,0.000089632,0.001168648,0.000033549,0.235108115,0.00195094,0.011105421
27.,0.,0.749996638,0.001215027,0.000090552,0.001180129,0.000033887,0.234017984,0.001952961,0.011512822
28.,0.,0.750644412,0.001228082,0.000091492,0.001191887,0.000034233,0.232936134,0.001955002,0.011918757
29.,0.,0.751284743,0.001241432,0.000092453,0.001203927,0.000034585,0.231862572,0.001957065,0.012323224
30.,0.,0.751917613,0.001255082,0.000093435,0.001216252,0.000034945,0.230797304,0.001959149,0.012726221
31.,0.,0.752543006,0.001269038,0.000094438,0.001228865,0.000035313,0.229740338,0.001961255,0.013127748
32.,0.,0.753160902,0.001283305,0.000095464,0.001241772,0.000035688,0.228691682,0.001963384,0.013527802
33.,0.,0.753771284,0.001297889,0.000096512,0.001254977,0.000036072,0.227651345,0.001965536,0.013926383
34.,0.,0.754374131,0.001312796,0.000097584,0.001268485,0.000036465,0.226619338,0.001967712,0.014323489
35.,0.,0.754969421,0.001328032,0.00009868,0.001282301,0.000036866,0.225595672,0.001969912,0.014719118
36.,0.,0.755557132,0.001343602,0.000099799,0.001296429,0.000037276,0.224580358,0.001972136,0.015113268
37.,0.,0.75613724,0.001359513,0.000100944,0.001310876,0.000037695,0.223573409,0.001974386,0.015505937
38.,0.,0.756709722,0.001375771,0.000102113,0.001325646,0.000038123,0.22257484,0.001976662,0.015897123
39.,0.,0.75727455,0.001392382,0.000103309,0.001340746,0.000038561,0.221584665,0.001978963,0.016286824
40.,0.,0.757831698,0.001409352,0.00010453,0.00135618,0.000039008,0.2206029,0.001981292,0.016675039
41.,0.,0.758381138,0.001426688,0.000105778,0.001371956,0.000039465,0.219629562,0.001983649,0.017061763
42.,0.,0.758922841,0.001444398,0.000107053,0.001388078,0.000039933,0.218664669,0.001986033,0.017446996
43.,0.,0.759456775,0.001462486,0.000108356,0.001404554,0.00004041,0.217708239,0.001988447,0.017830733
44.,0.,0.75998291,0.001480961,0.000109687,0.001421389,0.000040898,0.216760293,0.001990889,0.018212974
45.,0.,0.760501211,0.001499829,0.000111046,0.001438589,0.000041396,0.215820853,0.001993362,0.018593714
46.,0.,0.761011645,0.001519098,0.000112435,0.001456162,0.000041905,0.214889939,0.001995865,0.01897295
47.,0.,0.761514175,0.001538775,0.000113853,0.001474114,0.000042425,0.213967576,0.0019984,0.019350681
48.,0.,0.762008765,0.001558868,0.000115302,0.001492452,0.000042956,0.213053788,0.002000966,0.019726902
49.,0.,0.762495377,0.001579384,0.000116781,0.001511183,0.000043498,0.212148602,0.002003565,0.02010161
50.,0.,0.762973969,0.00160033,0.000118292,0.001530314,0.000044052,0.211252043,0.002006198,0.020474802
51.,0.,0.763444502,0.001621716,0.000119834,0.001549853,0.000044618,0.210364139,0.002008865,0.020846473
52.,0.,0.763906932,0.001643549,0.000121409,0.001569806,0.000045195,0.209484922,0.002011566,0.021216621
53.,0.,0.764361215,0.001665837,0.000123017,0.001590182,0.000045785,0.20861442,0.002014303,0.021585241
54.,0.,0.764807306,0.001688588,0.000124659,0.001610988,0.000046388,0.207752666,0.002017076,0.02195233
55.,0.,0.765245158,0.001711812,0.000126335,0.001632232,0.000047003,0.206899692,0.002019886,0.022317882
56.,0.,0.765674722,0.001735516,0.000128047,0.001653922,0.000047631,0.206055535,0.002022734,0.022681894
57.,0.,0.766095948,0.00175971,0.000129793,0.001676066,0.000048272,0.205220228,0.00202562,0.023044362
58.,0.,0.766508785,0.001784403,0.000131576,0.001698673,0.000048926,0.204393811,0.002028546,0.02340528
59.,0.,0.766913179,0.001809604,0.000133396,0.001721751,0.000049594,0.20357632,0.002031512,0.023764643
60.,0.,0.767309076,0.001835323,0.000135254,0.001745308,0.000050276,0.202767797,0.002034519,0.024122448
61.,0.,0.767696419,0.001861567,0.00013715,0.001769355,0.000050972,0.201968282,0.002037568,0.024478688
62.,0.,0.76807515,0.001888349,0.000139084,0.001793898,0.000051682,0.201177819,0.00204066,0.024833358
63.,0.,0.76844521,0.001915676,0.000141059,0.001818949,0.000052407,0.200396451,0.002043795,0.025186453
64.,0.,0.768806536,0.00194356,0.000143074,0.001844515,0.000053147,0.199624226,0.002046975,0.025537967
65.,0.,0.769159067,0.00197201,0.00014513,0.001870607,0.000053902,0.198861189,0.0020502,0.025887894
66.,0.,0.769502738,0.002001036,0.000147228,0.001897234,0.000054673,0.19810739,0.002053472,0.026236229
67.,0.,0.769837481,0.002030649,0.000149369,0.001924406,0.000055459,0.19736288,0.002056791,0.026582965
68.,0.,0.77016323,0.00206086,0.000151554,0.001952133,0.000056261,0.19662771,0.002060158,0.026928095
69.,0.,0.770479913,0.002091679,0.000153782,0.001980424,0.00005708,0.195901934,0.002063574,0.027271613
70.,0.,0.770787459,0.002123118,0.000156056,0.002009291,0.000057915,0.195185608,0.00206704,0.027613513
71.,0.,0.771085795,0.002155187,0.000158376,0.002038743,0.000058767,0.194478788,0.002070558,0.027953787
72.,0.,0.771374846,0.002187897,0.000160742,0.002068791,0.000059637,0.193781532,0.002074128,0.028292428
73.,0.,0.771654533,0.00222126,0.000163156,0.002099445,0.000060524,0.193093902,0.002077752,0.028629428
74.,0.,0.771924778,0.002255287,0.000165618,0.002130718,0.000061428,0.192415959,0.00208143,0.028964781
75.,0.,0.772185501,0.002289991,0.000168129,0.002162619,0.000062351,0.191747766,0.002085163,0.029298478
76.,0.,0.772436618,0.002325382,0.000170691,0.002195161,0.000063293,0.19108939,0.002088953,0.029630512
77.,0.,0.772678045,0.002361474,0.000173304,0.002228354,0.000064253,0.190440897,0.002092801,0.029960873
