 t  , CL , CS , CE , CIS, CIA, CH , CR , CD , CV 
 .000000000, .266260097, .463606046, .000670330, .000092830, .001209860, .000134158, .266125939, .001900740, .000000000
 1.000000000, .325104947, .406012700, .000763243, .000082942, .001137609, .000092978, .264901589, .001903993, .000000000
 2.000000000, .396959628, .335415999, .000827531, .000077254, .001088761, .000067436, .263656804, .001906587, .000000000
 3.000000000, .484699110, .248936669, .000872094, .000074168, .001055939, .000051663, .262401574, .001908781, .000000000
 4.000000000, .590828087, .144067266, .000902893, .000072657, .001034062, .000041987, .261142314, .001910735, .000000000
 5.000000000, .714107400, .022045198, .000923942, .000072067, .001019605, .000036107, .259883133, .001912548, .000000000
 6.000000000, .863110311, -.125703775, .000937866, .000071983, .001010108, .000032580, .258626645, .001914281, .000000000
 7.000000000, 1.043203720, -.304546970, .000946322, .000072146, .001003822, .000030502, .257374487, .001915970, .000000000
 8.000000000, 1.233372704, -.493469459, .000950300, .000072389, .000999472, .000029306, .256127652, .001917637, .000000000
 9.000000000, 1.307934342, -.566789630, .000951848, .000072618, .000996189, .000028635, .254886706, .001919292, .000000000
 10.000000000, 1.387003876, -.644623453, .000952058, .000072803, .000993546, .000028269, .253651957, .001920943, .000000000
 11.000000000, 1.470853755, -.727243348, .000951175, .000072931, .000991252, .000028077, .252423566, .001922592, .000000000
 12.000000000, 1.527079807, -.782245067, .000949356, .000072996, .000989094, .000027978, .251201597, .001924240, .000000000
 13.000000000, 1.428030004, -.681978259, .000948361, .000073012, .000987014, .000027924, .249986056, .001925888, .000000000
 14.000000000, 1.335405904, -.588145260, .000948744, .000073018, .000985215, .000027894, .248776950, .001927535, .000000000
 15.000000000, 1.248790497, -.500328993, .000950232, .000073043, .000983847, .000027878, .247574313, .001929182, .000000000
 16.000000000, 1.144739009, -.395084652, .000952634, .000073102, .000983002, .000027876, .246378200, .001930829, .000000000
 17.000000000, .950910213, -.200072166, .000956893, .000073212, .000982803, .000027887, .245188679, .001932478, .000000000
 18.000000000, .789901904, -.037889629, .000962957, .000073401, .000983466, .000027918, .244005855, .001934129, .000000000
 19.000000000, .656156529, .097020770, .000970303, .000073678, .000985098, .000027972, .242829864, .001935785, .000000000
 20.000000000, .549588170, .204745123, .000978582, .000074042, .000987725, .000028055, .241660855, .001937448, .000000000
 21.000000000, .479895271, .275585332, .000987348, .000074485, .000991305, .000028168, .240498973, .001939118, .000000000
 22.000000000, .419040534, .337578811, .000996449, .000074993, .000995751, .000028309, .239344353, .001940799, .000000000
 23.000000000, .365903121, .391846378, .001005883, .000075556, .001000982, .000028477, .238197113, .001942491, .000000000
 24.000000000, .330214254, .428656791, .001015645, .000076166, .001006930, .000028667, .237057352, .001944195, .000000000
 25.000000000, .352593254, .407391313, .001025171, .000076812, .001013500, .000028879, .235925158, .001945913, .000000000
 26.000000000, .376487658, .384602680, .001034310, .000077478, .001020534, .000029106, .234800591, .001947645, .000000000
 27.000000000, .401999993, .360188353, .001043177, .000078150, .001027909, .000029345, .233683682, .001949392, .000000000
 28.000000000, .412642904, .350635702, .001051847, .000078823, .001035536, .000029591, .232574445, .001951154, .000000000
 29.000000000, .349379301, .414980920, .001061227, .000079500, .001043404, .000029842, .231472876, .001952930, .000000000
 30.000000000, .295815308, .469617524, .001071537, .000080199, .001051625, .000030097, .230378988, .001954723, .000000000
 31.000000000, .250463846, .516032667, .001082582, .000080932, .001060275, .000030360, .229292807, .001956531, .000000000
 32.000000000, .213753929, .553797385, .001094227, .000081703, .001069394, .000030633, .228214375, .001958355, .000000000
 33.000000000, .189842417, .578754932, .001106298, .000082512, .001078990, .000030917, .227143737, .001960198, .000000000
 34.000000000, .168606137, .601028515, .001118730, .000083357, .001089050, .000031215, .226080938, .001962058, .000000000
 35.000000000, .149745815, .620917386, .001131521, .000084235, .001099560, .000031525, .225026020, .001963937, .000000000
 36.000000000, .132669165, .639013804, .001144670, .000085146, .001110507, .000031849, .223979022, .001965837, .000000000
 37.000000000, .116106597, .656587316, .001158194, .000086088, .001121882, .000032184, .222939983, .001967756, .000000000
 38.000000000, .101612316, .672083683, .001172095, .000087060, .001133678, .000032532, .221908937, .001969697, .000000000
 39.000000000, .088928070, .685761138, .001186367, .000088063, .001145890, .000032892, .220885920, .001971660, .000000000
 40.000000000, .080357426, .695316087, .001201008, .000089095, .001158512, .000033264, .219870963, .001973646, .000000000
 41.000000000, .085474036, .691175016, .001215864, .000090155, .001171530, .000033647, .218864098, .001975654, .000000000
 42.000000000, .090915602, .686700276, .001230894, .000091239, .001184910, .000034040, .217865351, .001977687, .000000000
 43.000000000, .096702733, .681871232, .001246132, .000092345, .001198627, .000034444, .216874743, .001979743, .000000000
 44.000000000, .099249446, .680273847, .001261600, .000093471, .001212664, .000034857, .215892290, .001981825, .000000000
 45.000000000, .085531491, .694932116, .001277535, .000094619, .001227023, .000035278, .214918005, .001983932, .000000000
 46.000000000, .073710306, .707684476, .001294005, .000095794, .001241739, .000035709, .213951906, .001986065, .000000000
 47.000000000, .063523661, .718793142, .001310968, .000096999, .001256838, .000036149, .212994018, .001988225, .000000000
 48.000000000, .057595986, .725633664, .001328398, .000098236, .001272338, .000036600, .212044367, .001990411, .000000000
 49.000000000, .067845288, .716288217, .001346084, .000099504, .001288236, .000037062, .211102984, .001992626, .000000000
 50.000000000, .079916617, .705111847, .001363938, .000100799, .001304501, .000037535, .210169895, .001994869, .000000000
 51.000000000, .094133807, .691780727, .001381966, .000102117, .001321103, .000038018, .209245119, .001997141, .000000000
 52.000000000, .104975128, .681816609, .001400161, .000103456, .001338018, .000038512, .208328673, .001999443, .000000000
 53.000000000, .089845699, .697813967, .001418913, .000104816, .001355248, .000039014, .207420568, .002001775, .000000000
 54.000000000, .076897469, .711620649, .001438342, .000106205, .001372851, .000039525, .206520820, .002004138, .000000000
 55.000000000, .065816019, .723551057, .001458384, .000107630, .001390872, .000040047, .205629459, .002006532, .000000000
 56.000000000, .057035393, .733171125, .001478995, .000109093, .001409338, .000040581, .204746518, .002008959, .000000000
 57.000000000, .052615266, .738421191, .001500100, .000110594, .001428267, .000041128, .203872037, .002011418, .000000000
 58.000000000, .048538023, .743318847, .001521679, .000112133, .001447663, .000041688, .203006056, .002013911, .000000000
 59.000000000, .044777080, .747890619, .001543744, .000113710, .001467529, .000042263, .202148616, .002016439, .000000000
 60.000000000, .041215458, .752253428, .001566304, .000115325, .001487871, .000042852, .201299761, .002019002, .000000000
