 t   , NCL , NCS , NCE , NCIS, NCIA, NCH , NCR , NCD , NCV 
 .000000000, .266260097, .463606046, .000670330, .000092830, .001209860, .000134158, .266125939, .001900740, .000000000
 1.000000000, .266174788, .464942397, .000763676, .000082945, .001137632, .000092978, .264901590, .001903993, .000000000
 2.000000000, .266094013, .466279689, .000829231, .000077278, .001088942, .000067438, .263656821, .001906588, .000000000
 3.000000000, .266016205, .467615001, .000875917, .000074241, .001056523, .000051672, .262401658, .001908782, .000000000
 4.000000000, .265940303, .468946363, .000909795, .000072820, .001035400, .000042010, .261142570, .001910738, .000000000
 5.000000000, .265865586, .470272448, .000934983, .000072370, .001022154, .000036157, .259883745, .001912556, .000000000
 6.000000000, .265791561, .471592366, .000954287, .000072488, .001014436, .000032673, .258627892, .001914296, .000000000
 7.000000000, .265717891, .472905517, .000969620, .000072924, .001010626, .000030658, .257376767, .001915998, .000000000
 8.000000000, .265644343, .474211500, .000982286, .000073527, .001009604, .000029548, .256131508, .001917683, .000000000
 9.000000000, .265570756, .475510050, .000993180, .000074208, .001010595, .000028992, .254892854, .001919365, .000000000
 10.000000000, .265497015, .476800989, .001002914, .000074918, .001013059, .000028772, .253661280, .001921053, .000000000
 11.000000000, .265423037, .478084203, .001011909, .000075630, .001016622, .000028753, .252437095, .001922751, .000000000
 12.000000000, .265348764, .479359619, .001020455, .000076332, .001021023, .000028851, .251220496, .001924461, .000000000
 13.000000000, .265274148, .480627190, .001028754, .000077019, .001026078, .000029017, .250011609, .001926184, .000000000
 14.000000000, .265199155, .481886891, .001036945, .000077692, .001031659, .000029221, .248810514, .001927922, .000000000
 15.000000000, .265123756, .483138708, .001045126, .000078353, .001037677, .000029446, .247617260, .001929674, .000000000
 16.000000000, .265047926, .484382635, .001053364, .000079007, .001044068, .000029681, .246431879, .001931441, .000000000
 17.000000000, .264971644, .485618672, .001061710, .000079657, .001050789, .000029921, .245254386, .001933222, .000000000
 18.000000000, .264894890, .486846822, .001070198, .000080306, .001057807, .000030165, .244084794, .001935017, .000000000
 19.000000000, .264817648, .488067094, .001078853, .000080958, .001065103, .000030410, .242923106, .001936827, .000000000
 20.000000000, .264739900, .489279493, .001087695, .000081616, .001072662, .000030657, .241769326, .001938652, .000000000
 21.000000000, .264661629, .490484028, .001096737, .000082282, .001080473, .000030907, .240623453, .001940492, .000000000
 22.000000000, .264582819, .491680709, .001105990, .000082959, .001088531, .000031159, .239485487, .001942347, .000000000
 23.000000000, .264503455, .492869544, .001115464, .000083647, .001096831, .000031414, .238355428, .001944217, .000000000
 24.000000000, .264423519, .494050541, .001125167, .000084349, .001105373, .000031674, .237233275, .001946103, .000000000
 25.000000000, .264342998, .495223710, .001135103, .000085065, .001114155, .000031938, .236119027, .001948004, .000000000
 26.000000000, .264261873, .496389058, .001145280, .000085797, .001123178, .000032207, .235012685, .001949922, .000000000
 27.000000000, .264180130, .497546594, .001155702, .000086545, .001132443, .000032482, .233914248, .001951856, .000000000
 28.000000000, .264097752, .498696324, .001166374, .000087311, .001141953, .000032762, .232823718, .001953807, .000000000
 29.000000000, .264014722, .499838255, .001177300, .000088094, .001151710, .000033049, .231741096, .001955775, .000000000
 30.000000000, .263931024, .500972392, .001188486, .000088895, .001161715, .000033342, .230666385, .001957761, .000000000
 31.000000000, .263846641, .502098742, .001199935, .000089715, .001171973, .000033642, .229599587, .001959765, .000000000
 32.000000000, .263761555, .503217309, .001211653, .000090554, .001182487, .000033948, .228540706, .001961788, .000000000
 33.000000000, .263675750, .504328097, .001223643, .000091413, .001193260, .000034262, .227489745, .001963829, .000000000
 34.000000000, .263589208, .505431110, .001235910, .000092293, .001204296, .000034583, .226446710, .001965890, .000000000
 35.000000000, .263501911, .506526349, .001248460, .000093192, .001215598, .000034912, .225411607, .001967970, .000000000
 36.000000000, .263413841, .507613818, .001261296, .000094112, .001227171, .000035248, .224384442, .001970071, .000000000
 37.000000000, .263324980, .508693517, .001274423, .000095054, .001239019, .000035592, .223365221, .001972193, .000000000
 38.000000000, .263235310, .509765448, .001287847, .000096017, .001251145, .000035944, .222353953, .001974336, .000000000
 39.000000000, .263144811, .510829609, .001301572, .000097002, .001263555, .000036305, .221350646, .001976500, .000000000
 40.000000000, .263053464, .511886000, .001315603, .000098010, .001276253, .000036673, .220355311, .001978687, .000000000
 41.000000000, .262961250, .512934619, .001329946, .000099040, .001289243, .000037050, .219367956, .001980896, .000000000
 42.000000000, .262868149, .513975463, .001344606, .000100093, .001302530, .000037435, .218388594, .001983129, .000000000
 43.000000000, .262774142, .515008530, .001359588, .000101170, .001316119, .000037829, .217417236, .001985386, .000000000
 44.000000000, .262679208, .516033814, .001374898, .000102271, .001330016, .000038232, .216453895, .001987666, .000000000
 45.000000000, .262583326, .517051312, .001390541, .000103396, .001344224, .000038644, .215498584, .001989972, .000000000
 46.000000000, .262486476, .518061017, .001406524, .000104546, .001358750, .000039065, .214551319, .001992303, .000000000
 47.000000000, .262388636, .519062922, .001422852, .000105721, .001373598, .000039495, .213612116, .001994659, .000000000
 48.000000000, .262289785, .520057020, .001439531, .000106922, .001388775, .000039935, .212680989, .001997043, .000000000
 49.000000000, .262189900, .521043302, .001456568, .000108149, .001404286, .000040385, .211757958, .001999453, .000000000
 50.000000000, .262088960, .522021759, .001473968, .000109402, .001420136, .000040844, .210843040, .002001891, .000000000
 51.000000000, .261986942, .522992381, .001491739, .000110682, .001436331, .000041313, .209936254, .002004357, .000000000
 52.000000000, .261883822, .523955157, .001509886, .000111990, .001452878, .000041792, .209037622, .002006852, .000000000
 53.000000000, .261779578, .524910074, .001528417, .000113326, .001469782, .000042282, .208147164, .002009377, .000000000
 54.000000000, .261674186, .525857119, .001547338, .000114690, .001487050, .000042782, .207264903, .002011932, .000000000
 55.000000000, .261567622, .526796278, .001566656, .000116083, .001504688, .000043293, .206390863, .002014517, .000000000
 56.000000000, .261459860, .527727536, .001586379, .000117506, .001522703, .000043814, .205525069, .002017134, .000000000
 57.000000000, .261350877, .528650877, .001606513, .000118958, .001541100, .000044347, .204667545, .002019783, .000000000
 58.000000000, .261240647, .529566284, .001627065, .000120441, .001559888, .000044891, .203818319, .002022464, .000000000
 59.000000000, .261129143, .530473739, .001648045, .000121955, .001579073, .000045447, .202977419, .002025179, .000000000
 60.000000000, .261016341, .531373222, .001669458, .000123501, .001598661, .000046014, .202144874, .002027929, .000000000
 61.000000000, .260902213, .532264713, .001691313, .000125079, .001618661, .000046593, .201320715, .002030713, .000000000
 62.000000000, .260786733, .533148192, .001713619, .000126689, .001639079, .000047184, .200504973, .002033532, .000000000
 63.000000000, .260669873, .534023635, .001736382, .000128333, .001659923, .000047787, .199697680, .002036388, .000000000
 64.000000000, .260551604, .534891019, .001759611, .000130011, .001681200, .000048403, .198898871, .002039281, .000000000
 65.000000000, .260431900, .535750319, .001783314, .000131724, .001702919, .000049032, .198108581, .002042212, .000000000
 66.000000000, .260310730, .536601510, .001807501, .000133471, .001725086, .000049673, .197326847, .002045181, .000000000
 67.000000000, .260188066, .537444564, .001832179, .000135255, .001747711, .000050328, .196553707, .002048190, .000000000
 68.000000000, .260063877, .538279454, .001857358, .000137075, .001770802, .000050997, .195789199, .002051239, .000000000
 69.000000000, .259938135, .539106151, .001883046, .000138932, .001794366, .000051679, .195033364, .002054329, .000000000
 70.000000000, .259810807, .539924623, .001909253, .000140826, .001818412, .000052374, .194286245, .002057461, .000000000
 71.000000000, .259681862, .540734839, .001935987, .000142759, .001842949, .000053084, .193547884, .002060635, .000000000
 72.000000000, .259551269, .541536766, .001963259, .000144732, .001867986, .000053809, .192818326, .002063853, .000000000
 73.000000000, .259418996, .542330371, .001991078, .000146744, .001893531, .000054548, .192097617, .002067116, .000000000
 74.000000000, .259285010, .543115617, .002019453, .000148796, .001919594, .000055302, .191385805, .002070424, .000000000
 75.000000000, .259149277, .543892467, .002048394, .000150890, .001946183, .000056072, .190682938, .002073778, .000000000
 76.000000000, .259011764, .544660885, .002077912, .000153026, .001973309, .000056857, .189989068, .002077179, .000000000
 77.000000000, .258872436, .545420831, .002108016, .000155205, .002000981, .000057657, .189304246, .002080629, .000000000
 78.000000000, .258731259, .546172263, .002138716, .000157427, .002029208, .000058474, .188628526, .002084127, .000000000
 79.000000000, .258588196, .546915141, .002170024, .000159693, .002058000, .000059307, .187961962, .002087676, .000000000
 80.000000000, .258443212, .547649421, .002201950, .000162005, .002087368, .000060157, .187304612, .002091276, .000000000
 81.000000000, .258296270, .548375058, .002234504, .000164362, .002117321, .000061023, .186656534, .002094928, .000000000
 82.000000000, .258147334, .549092007, .002267698, .000166766, .002147869, .000061907, .186017787, .002098633, .000000000
 83.000000000, .257996365, .549800220, .002301541, .000169217, .002179024, .000062808, .185388433, .002102392, .000000000
 84.000000000, .257843324, .550499649, .002336046, .000171716, .002210795, .000063727, .184768535, .002106207, .000000000
 85.000000000, .257688175, .551190243, .002371224, .000174265, .002243193, .000064665, .184158158, .002110077, .000000000
 86.000000000, .257530875, .551871951, .002407086, .000176863, .002276230, .000065620, .183557368, .002114006, .000000000
 87.000000000, .257371387, .552544721, .002443643, .000179513, .002309916, .000066595, .182966233, .002117992, .000000000
 88.000000000, .257209668, .553208497, .002480908, .000182214, .002344263, .000067588, .182384823, .002122039, .000000000
 89.000000000, .257045679, .553863225, .002518891, .000184967, .002379280, .000068601, .181813210, .002126146, .000000000
 90.000000000, .256879376, .554508847, .002557606, .000187774, .002414981, .000069634, .181251467, .002130316, .000000000
