 t , uL, uV
 .000000000, -.199999839, -.028079698
 1.000000000, -.199999839, -.028079698
 2.000000000, -.199999839, -.028079698
 3.000000000, -.199999839, -.028079698
 4.000000000, -.189807819, -.073153747
 5.000000000, -.189807819, -.073153747
 6.000000000, -.189807819, -.073153747
 7.000000000, -.189807819, -.073153747
 8.000000000, -.058993534, .041473713
 9.000000000, -.058993534, .041473713
 10.000000000, -.058993534, .041473713
 11.000000000, -.058993534, .041473713
 12.000000000, .066765791, -.132516588
 13.000000000, .066765791, -.132516588
 14.000000000, .066765791, -.132516588
 15.000000000, .066765791, -.132516588
 16.000000000, .185222209, .170582298
 17.000000000, .185222209, .170582298
 18.000000000, .185222209, .170582298
 19.000000000, .185222209, .170582298
 20.000000000, .135315278, .014226164
 21.000000000, .135315278, .014226164
 22.000000000, .135315278, .014226164
 23.000000000, .135315278, .014226164
 24.000000000, -.065857981, .015116363
 25.000000000, -.065857981, .015116363
 26.000000000, -.065857981, .015116363
 27.000000000, -.065857981, .015116363
 28.000000000, .166130878, .025948308
 29.000000000, .166130878, .025948308
 30.000000000, .166130878, .025948308
 31.000000000, .166130878, .025948308
 32.000000000, .118345468, -.052113331
 33.000000000, .118345468, -.052113331
 34.000000000, .118345468, -.052113331
 35.000000000, .118345468, -.052113331
 36.000000000, .133077254, -.004763446
 37.000000000, .133077254, -.004763446
 38.000000000, .133077254, -.004763446
 39.000000000, .133077254, -.004763446
 40.000000000, -.061982921, -.122948659
 41.000000000, -.061982921, -.122948659
 42.000000000, -.061982921, -.122948659
 43.000000000, -.061982921, -.122948659
 44.000000000, .148473570, .041114592
 45.000000000, .148473570, .041114592
 46.000000000, .148473570, .041114592
 47.000000000, .148473570, .041114592
 48.000000000, -.164032654, .055625221
 49.000000000, -.164032654, .055625221
 50.000000000, -.164032654, .055625221
 51.000000000, -.164032654, .055625221
 52.000000000, .155313532, -.008887617
 53.000000000, .155313532, -.008887617
 54.000000000, .155313532, -.008887617
 55.000000000, .155313532, -.008887617
 56.000000000, .080391559, .098638668
 57.000000000, .080391559, .098638668
 58.000000000, .080391559, .098638668
 59.000000000, .080391559, .098638668
 60.000000000, .093821031, .064325233
 61.000000000, .093821031, .064325233
 62.000000000, .093821031, .064325233
 63.000000000, .093821031, .064325233
 64.000000000, -.079929671, .189948841
 65.000000000, -.079929671, .189948841
