"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","CL","CS","CE","CIS","CIA","CH","CR","CD","CV"
0.,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0.
1.,0.325104947,0.4060127,0.000763243,0.000082942,0.001137609,0.000092978,0.264901589,0.001903993,0.
2.,0.396959628,0.335415999,0.000827531,0.000077254,0.001088761,0.000067436,0.263656804,0.001906587,0.
3.,0.48469911,0.248936669,0.000872094,0.000074168,0.001055939,0.000051663,0.262401574,0.001908781,0.
4.,0.590828087,0.144067266,0.000902893,0.000072657,0.001034062,0.000041987,0.261142314,0.001910735,0.
5.,0.7141074,0.022045198,0.000923942,0.000072067,0.001019605,0.000036107,0.259883133,0.001912548,0.
6.,0.863110311,-0.125703775,0.000937866,0.000071983,0.001010108,0.00003258,0.258626645,0.001914281,0.
7.,1.04320372,-0.30454697,0.000946322,0.000072146,0.001003822,0.000030502,0.257374487,0.00191597,0.
8.,1.233372704,-0.493469459,0.0009503,0.000072389,0.000999472,0.000029306,0.256127652,0.001917637,0.
9.,1.307934342,-0.56678963,0.000951848,0.000072618,0.000996189,0.000028635,0.254886706,0.001919292,0.
10.,1.387003876,-0.644623453,0.000952058,0.000072803,0.000993546,0.000028269,0.253651957,0.001920943,0.
11.,1.470853755,-0.727243348,0.000951175,0.000072931,0.000991252,0.000028077,0.252423566,0.001922592,0.
12.,1.527079807,-0.782245067,0.000949356,0.000072996,0.000989094,0.000027978,0.251201597,0.00192424,0.
13.,1.428030004,-0.681978259,0.000948361,0.000073012,0.000987014,0.000027924,0.249986056,0.001925888,0.
14.,1.335405904,-0.58814526,0.000948744,0.000073018,0.000985215,0.000027894,0.24877695,0.001927535,0.
15.,1.248790497,-0.500328993,0.000950232,0.000073043,0.000983847,0.000027878,0.247574313,0.001929182,0.
16.,1.144739009,-0.395084652,0.000952634,0.000073102,0.000983002,0.000027876,0.2463782,0.001930829,0.
17.,0.950910213,-0.200072166,0.000956893,0.000073212,0.000982803,0.000027887,0.245188679,0.001932478,0.
18.,0.789901904,-0.037889629,0.000962957,0.000073401,0.000983466,0.000027918,0.244005855,0.001934129,0.
19.,0.656156529,0.09702077,0.000970303,0.000073678,0.000985098,0.000027972,0.242829864,0.001935785,0.
20.,0.54958817,0.204745123,0.000978582,0.000074042,0.000987725,0.000028055,0.241660855,0.001937448,0.
21.,0.479895271,0.275585332,0.000987348,0.000074485,0.000991305,0.000028168,0.240498973,0.001939118,0.
22.,0.419040534,0.337578811,0.000996449,0.000074993,0.000995751,0.000028309,0.239344353,0.001940799,0.
23.,0.365903121,0.391846378,0.001005883,0.000075556,0.001000982,0.000028477,0.238197113,0.001942491,0.
24.,0.330214254,0.428656791,0.001015645,0.000076166,0.00100693,0.000028667,0.237057352,0.001944195,0.
25.,0.352593254,0.407391313,0.001025171,0.000076812,0.0010135,0.000028879,0.235925158,0.001945913,0.
26.,0.376487658,0.38460268,0.00103431,0.000077478,0.001020534,0.000029106,0.234800591,0.001947645,0.
27.,0.401999993,0.360188353,0.001043177,0.00007815,0.001027909,0.000029345,0.233683682,0.001949392,0.
28.,0.412642904,0.350635702,0.001051847,0.000078823,0.001035536,0.000029591,0.232574445,0.001951154,0.
29.,0.349379301,0.41498092,0.001061227,0.0000795,0.001043404,0.000029842,0.231472876,0.00195293,0.
30.,0.295815308,0.469617524,0.001071537,0.000080199,0.001051625,0.000030097,0.230378988,0.001954723,0.
31.,0.250463846,0.516032667,0.001082582,0.000080932,0.001060275,0.00003036,0.229292807,0.001956531,0.
32.,0.213753929,0.553797385,0.001094227,0.000081703,0.001069394,0.000030633,0.228214375,0.001958355,0.
