"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","NCL","NCS","NCE","NCIS","NCIA","NCH","NCR","NCD","NCV"
0.,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0.
1.,0.266174788,0.464942397,0.000763676,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.
2.,0.266094013,0.466279689,0.000829231,0.000077278,0.001088942,0.000067438,0.263656821,0.001906588,0.
3.,0.266016205,0.467615001,0.000875917,0.000074241,0.001056523,0.000051672,0.262401658,0.001908782,0.
4.,0.265940303,0.468946363,0.000909795,0.00007282,0.0010354,0.00004201,0.26114257,0.001910738,0.
5.,0.265865586,0.470272448,0.000934983,0.00007237,0.001022154,0.000036157,0.259883745,0.001912556,0.
6.,0.265791561,0.471592366,0.000954287,0.000072488,0.001014436,0.000032673,0.258627892,0.001914296,0.
7.,0.265717891,0.472905517,0.00096962,0.000072924,0.001010626,0.000030658,0.257376767,0.001915998,0.
8.,0.265644343,0.4742115,0.000982286,0.000073527,0.001009604,0.000029548,0.256131508,0.001917683,0.
9.,0.265570756,0.47551005,0.00099318,0.000074208,0.001010595,0.000028992,0.254892854,0.001919365,0.
10.,0.265497015,0.476800989,0.001002914,0.000074918,0.001013059,0.000028772,0.25366128,0.001921053,0.
11.,0.265423037,0.478084203,0.001011909,0.00007563,0.001016622,0.000028753,0.252437095,0.001922751,0.
12.,0.265348764,0.479359619,0.001020455,0.000076332,0.001021023,0.000028851,0.251220496,0.001924461,0.
13.,0.265274148,0.48062719,0.001028754,0.000077019,0.001026078,0.000029017,0.250011609,0.001926184,0.
14.,0.265199155,0.481886891,0.001036945,0.000077692,0.001031659,0.000029221,0.248810514,0.001927922,0.
15.,0.265123756,0.483138708,0.001045126,0.000078353,0.001037677,0.000029446,0.24761726,0.001929674,0.
16.,0.265047926,0.484382635,0.001053364,0.000079007,0.001044068,0.000029681,0.246431879,0.001931441,0.
17.,0.264971644,0.485618672,0.00106171,0.000079657,0.001050789,0.000029921,0.245254386,0.001933222,0.
18.,0.26489489,0.486846822,0.001070198,0.000080306,0.001057807,0.000030165,0.244084794,0.001935017,0.
19.,0.264817648,0.488067094,0.001078853,0.000080958,0.001065103,0.00003041,0.242923106,0.001936827,0.
20.,0.2647399,0.489279493,0.001087695,0.000081616,0.001072662,0.000030657,0.241769326,0.001938652,0.
21.,0.264661629,0.490484028,0.001096737,0.000082282,0.001080473,0.000030907,0.240623453,0.001940492,0.
22.,0.264582819,0.491680709,0.00110599,0.000082959,0.001088531,0.000031159,0.239485487,0.001942347,0.
23.,0.264503455,0.492869544,0.001115464,0.000083647,0.001096831,0.000031414,0.238355428,0.001944217,0.
24.,0.264423519,0.494050541,0.001125167,0.000084349,0.001105373,0.000031674,0.237233275,0.001946103,0.
25.,0.264342998,0.49522371,0.001135103,0.000085065,0.001114155,0.000031938,0.236119027,0.001948004,0.
26.,0.264261873,0.496389058,0.00114528,0.000085797,0.001123178,0.000032207,0.235012685,0.001949922,0.
27.,0.26418013,0.497546594,0.001155702,0.000086545,0.001132443,0.000032482,0.233914248,0.001951856,0.
28.,0.264097752,0.498696324,0.001166374,0.000087311,0.001141953,0.000032762,0.232823718,0.001953807,0.
