t, NCL , NCS , NCE , NCIS, NCIA, NCH , NCR , NCD , NCV 
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266174788,0.464659878,0.000763672,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000282523
2,0.266094013,0.465716449,0.000829215,0.000077277,0.00108894,0.000067438,0.263656821,0.001906588,0.000563258
3,0.266016206,0.466772815,0.000875885,0.000074241,0.001056518,0.000051672,0.262401657,0.001908782,0.000842225
4,0.265940304,0.467826991,0.00090974,0.000072819,0.001035388,0.00004201,0.261142568,0.001910738,0.00111944
5,0.265865588,0.468877636,0.000934903,0.000072368,0.001022134,0.000036157,0.25988374,0.001912556,0.001394919
6,0.265791565,0.469923847,0.000954177,0.000072484,0.001014404,0.000032673,0.258627882,0.001914296,0.001668672
7,0.265717897,0.470965015,0.000969475,0.000072918,0.001010579,0.000030657,0.257376749,0.001915998,0.001940711
8,0.265644354,0.472000729,0.000982103,0.000073519,0.001009538,0.000029547,0.25613148,0.001917683,0.002211047
9,0.265570773,0.473030712,0.000992955,0.000074199,0.001010506,0.00002899,0.254892811,0.001919365,0.002479689
10,0.265497039,0.47405478,0.001002642,0.000074906,0.001012944,0.000028769,0.253661218,0.001921053,0.002746648
11,0.265423071,0.475072809,0.001011587,0.000075615,0.001016478,0.000028749,0.252437009,0.00192275,0.003011932
12,0.265348809,0.476084716,0.001020079,0.000076314,0.001020845,0.000028846,0.25122038,0.00192446,0.003275552
13,0.265274208,0.477090446,0.001028319,0.000076997,0.001025863,0.000029011,0.250011456,0.001926183,0.003537517
14,0.265199232,0.478089965,0.001036446,0.000077666,0.001031404,0.000029214,0.248810317,0.00192792,0.003797835
15,0.265123853,0.47908325,0.001044559,0.000078324,0.001037376,0.000029437,0.247617012,0.001929671,0.004056518
16,0.265048046,0.480070287,0.001052726,0.000078973,0.001043718,0.000029671,0.24643157,0.001931437,0.004313572
17,0.264971791,0.481051068,0.001060995,0.000079618,0.001050385,0.00002991,0.245254007,0.001933217,0.004569009
18,0.264895069,0.482025588,0.001069402,0.000080262,0.001057346,0.000030151,0.244084335,0.001935012,0.004822836
19,0.264817862,0.482993845,0.001077971,0.000080908,0.00106458,0.000030395,0.242922556,0.001936821,0.005075062
20,0.264740154,0.483955839,0.001086721,0.00008156,0.001072072,0.00003064,0.241768673,0.001938645,0.005325696
21,0.264661928,0.484911571,0.001095668,0.00008222,0.001079812,0.000030887,0.240622684,0.001940484,0.005574746
22,0.264583168,0.485861041,0.001104821,0.00008289,0.001087794,0.000031137,0.23948459,0.001942337,0.005822222
23,0.264503859,0.486804251,0.001114189,0.000083572,0.001096014,0.00003139,0.238354388,0.001944206,0.006068132
24,0.264423985,0.487741202,0.00112378,0.000084266,0.00110447,0.000031647,0.237232077,0.001946089,0.006312483
25,0.264343531,0.488671894,0.0011336,0.000084975,0.001113162,0.000031909,0.236117656,0.001947989,0.006555284
26,0.264262481,0.489596329,0.001143655,0.000085699,0.00112209,0.000032175,0.235011123,0.001949905,0.006796544
27,0.264180819,0.490514507,0.001153949,0.000086438,0.001131255,0.000032447,0.233912478,0.001951837,0.00703627
28,0.264098529,0.491426429,0.001164487,0.000087195,0.001140659,0.000032724,0.232821722,0.001953785,0.00727447
29,0.264015595,0.492332093,0.001175274,0.000087969,0.001150305,0.000033007,0.231738855,0.001955751,0.007511151
30,0.263932001,0.493231499,0.001186314,0.00008876,0.001160194,0.000033297,0.230663878,0.001957734,0.007746323
31,0.26384773,0.494124645,0.001197611,0.00008957,0.00117033,0.000033593,0.229596794,0.001959735,0.007979991
32,0.263762766,0.495011531,0.001209171,0.000090399,0.001180716,0.000033896,0.228537603,0.001961754,0.008212164
33,0.263677091,0.495892152,0.001220996,0.000091247,0.001191355,0.000034206,0.227486311,0.001963792,0.008442849
34,0.263590689,0.496766508,0.001233093,0.000092114,0.001202251,0.000034523,0.22644292,0.001965849,0.008672054
35,0.263503542,0.497634593,0.001245464,0.000093001,0.001213407,0.000034848,0.225407436,0.001967926,0.008899784
36,0.263415632,0.498496403,0.001258114,0.000093909,0.001224828,0.000035179,0.224379863,0.001970022,0.009126048
37,0.263326943,0.499351935,0.001271049,0.000094838,0.001236516,0.000035519,0.223360208,0.001972139,0.009350853
38,0.263237455,0.500201183,0.001284272,0.000095787,0.001248477,0.000035866,0.222348477,0.001974277,0.009574205
39,0.26314715,0.501044141,0.00129779,0.000096758,0.001260715,0.000036221,0.221344678,0.001976437,0.009796111
40,0.263056009,0.501880802,0.001311605,0.000097751,0.001273233,0.000036584,0.22034882,0.001978618,0.010016577
41,0.262964015,0.50271116,0.001325724,0.000098766,0.001286037,0.000036956,0.219360911,0.001980821,0.010235611
42,0.262871147,0.503535206,0.001340152,0.000099803,0.00129913,0.000037335,0.218380961,0.001983048,0.010453218
43,0.262777386,0.504352932,0.001354894,0.000100863,0.001312518,0.000037724,0.217408981,0.001985298,0.010669405
44,0.262682712,0.505164329,0.001369955,0.000101947,0.001326205,0.00003812,0.216444983,0.001987572,0.010884178
45,0.262587105,0.505969386,0.00138534,0.000103054,0.001340196,0.000038526,0.215488979,0.00198987,0.011097543
46,0.262490546,0.506768094,0.001401055,0.000104186,0.001354497,0.00003894,0.214540982,0.001992193,0.011309507
47,0.262393012,0.507560441,0.001417106,0.000105342,0.001369111,0.000039364,0.213601007,0.001994542,0.011520075
48,0.262294484,0.508346415,0.001433499,0.000106523,0.001384046,0.000039797,0.212669069,0.001996916,0.011729252
49,0.262194939,0.509126003,0.001450239,0.000107729,0.001399305,0.000040239,0.211745183,0.001999318,0.011937045
50,0.262094356,0.509899192,0.001467333,0.000108961,0.001414894,0.00004069,0.210829367,0.002001746,0.012143459
51,0.261992714,0.510665967,0.001484787,0.000110219,0.00143082,0.000041152,0.209921639,0.002004202,0.0123485
52,0.261889989,0.511426314,0.001502606,0.000111504,0.001447088,0.000041623,0.209022017,0.002006687,0.012552173
