 t , uL, uV
 .000000000, -.002117566, .002610354
 1.000000000, -.002117566, .002610354
 2.000000000, -.002117566, .002610354
 3.000000000, -.002117566, .002610354
 4.000000000, -.001918761, .002346032
 5.000000000, -.001918761, .002346032
 6.000000000, -.001918761, .002346032
 7.000000000, -.001918761, .002346032
 8.000000000, -.001904285, .002314563
 9.000000000, -.001904285, .002314563
 10.000000000, -.001904285, .002314563
 11.000000000, -.001904285, .002314563
 12.000000000, -.001889661, .002284733
 13.000000000, -.001889661, .002284733
 14.000000000, -.001889661, .002284733
 15.000000000, -.001889661, .002284733
 16.000000000, -.001874588, .002255558
 17.000000000, -.001874588, .002255558
 18.000000000, -.001874588, .002255558
 19.000000000, -.001874588, .002255558
 20.000000000, -.001859017, .002226783
 21.000000000, -.001859017, .002226783
 22.000000000, -.001859017, .002226783
 23.000000000, -.001859017, .002226783
 24.000000000, -.001842929, .002198319
 25.000000000, -.001842929, .002198319
 26.000000000, -.001842929, .002198319
 27.000000000, -.001842929, .002198319
 28.000000000, -.001826312, .002170115
 29.000000000, -.001826312, .002170115
 30.000000000, -.001826312, .002170115
 31.000000000, -.001826312, .002170115
 32.000000000, -.001809163, .002142126
 33.000000000, -.001809163, .002142126
 34.000000000, -.001809163, .002142126
 35.000000000, -.001809163, .002142126
 36.000000000, -.001791492, .002114335
 37.000000000, -.001791492, .002114335
 38.000000000, -.001791492, .002114335
 39.000000000, -.001791492, .002114335
 40.000000000, -.001773282, .002086691
 41.000000000, -.001773282, .002086691
 42.000000000, -.001773282, .002086691
 43.000000000, -.001773282, .002086691
 44.000000000, -.001754549, .002059170
 45.000000000, -.001754549, .002059170
 46.000000000, -.001754549, .002059170
 47.000000000, -.001754549, .002059170
 48.000000000, -.001735278, .002031739
 49.000000000, -.001735278, .002031739
 50.000000000, -.001735278, .002031739
 51.000000000, -.001735278, .002031739
 52.000000000, -.001715473, .002004370
 53.000000000, -.001715473, .002004370
 54.000000000, -.001715473, .002004370
 55.000000000, -.001715473, .002004370
 56.000000000, -.001695150, .001977040
 57.000000000, -.001695150, .001977040
 58.000000000, -.001695150, .001977040
 59.000000000, -.001695150, .001977040
 60.000000000, -.001674286, .001949724
 61.000000000, -.001674286, .001949724
 62.000000000, -.001674286, .001949724
 63.000000000, -.001674286, .001949724
 64.000000000, -.001652903, .001922398
 65.000000000, -.001652903, .001922398
 66.000000000, -.001652903, .001922398
 67.000000000, -.001652903, .001922398
 68.000000000, -.001631006, .001895041
 69.000000000, -.001631006, .001895041
 70.000000000, -.001631006, .001895041
 71.000000000, -.001631006, .001895041
 72.000000000, -.001608597, .001867629
 73.000000000, -.001608597, .001867629
 74.000000000, -.001608597, .001867629
 75.000000000, -.001608597, .001867629
 76.000000000, -.001585677, .001840165
 77.000000000, -.001585677, .001840165
 78.000000000, -.001585677, .001840165
 79.000000000, -.001585677, .001840165
 80.000000000, -.001562247, .001812601
 81.000000000, -.001562247, .001812601
 82.000000000, -.001562247, .001812601
 83.000000000, -.001562247, .001812601
 84.000000000, -.001538338, .001784939
 85.000000000, -.001538338, .001784939
 86.000000000, -.001538338, .001784939
 87.000000000, -.001538338, .001784939
 88.000000000, -.001513937, .001757173
 89.000000000, -.001513937, .001757173
 90.000000000, -.001513937, .001757173
 91.000000000, -.001513937, .001757173
 92.000000000, -.001489067, .001729271
 93.000000000, -.001489067, .001729271
 94.000000000, -.001489067, .001729271
 95.000000000, -.001489067, .001729271
 96.000000000, -.001463727, .001701236
