t, CL , CS , CE , CIS, CIA, CH , CR , CD , CV 
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266989653,0.463800342,0.000763665,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000327202
2,0.267725718,0.463995402,0.00082919,0.000077277,0.001088937,0.000067438,0.263656821,0.001906588,0.000652628
3,0.268466759,0.464188256,0.000875832,0.00007424,0.00105651,0.000051672,0.262401655,0.001908782,0.000976294
4,0.269203347,0.464449272,0.000909653,0.000072817,0.00103537,0.00004201,0.261142564,0.001910738,0.001234228
5,0.269901069,0.465065349,0.00093478,0.000072364,0.001022102,0.000036156,0.259883732,0.001912556,0.001171893
6,0.270601262,0.465673198,0.000954021,0.000072479,0.001014355,0.000032672,0.258627866,0.001914296,0.001109852
7,0.271303593,0.466272222,0.000969288,0.000072911,0.00101051,0.000030655,0.257376722,0.001915997,0.001048102
8,0.271899064,0.466807204,0.000981885,0.00007351,0.001009447,0.000029544,0.256131438,0.001917682,0.001150225
9,0.271951529,0.467063183,0.000992694,0.000074187,0.001010392,0.000028987,0.25489275,0.001919364,0.002066915
10,0.272003825,0.467316448,0.001002322,0.000074891,0.001012802,0.000028765,0.253661133,0.001921052,0.002978762
11,0.272055868,0.467566866,0.001011194,0.000075597,0.001016301,0.000028744,0.252436894,0.001922749,0.003885787
12,0.272002996,0.468167757,0.001019601,0.000076291,0.001020626,0.00002884,0.251220227,0.001924458,0.004539203
13,0.271427588,0.470528099,0.001027775,0.00007697,0.001025597,0.000029004,0.250011259,0.00192618,0.003947528
14,0.270853012,0.472878746,0.001035868,0.000077635,0.001031089,0.000029205,0.248810065,0.001927917,0.003356463
15,0.270279237,0.475219676,0.001043971,0.000078289,0.001037017,0.000029427,0.247616697,0.001929668,0.002766019
16,0.269608579,0.477206082,0.001052152,0.000078935,0.001043322,0.000029659,0.246431184,0.001931433,0.002618656
17,0.268452689,0.477466395,0.001060412,0.000079578,0.001049959,0.000029897,0.245253545,0.001933212,0.004674313
18,0.267301295,0.47772481,0.001068771,0.00008022,0.00105689,0.000030137,0.244083791,0.001935006,0.006719079
19,0.266154363,0.477981303,0.001077262,0.000080864,0.001064088,0.00003038,0.242921925,0.001936814,0.008753001
20,0.26505229,0.478423992,0.001085906,0.000081513,0.001071535,0.000030624,0.241767947,0.001938637,0.010547557
21,0.264155687,0.47980037,0.001094743,0.000082167,0.001079219,0.00003087,0.240621855,0.001940474,0.011194614
22,0.263261592,0.48116766,0.001103794,0.000082831,0.001087137,0.000031118,0.239483647,0.001942327,0.011839894
23,0.262369984,0.482525886,0.001113064,0.000083506,0.001095288,0.000031369,0.238353319,0.001944194,0.01248339
24,0.261641637,0.483712957,0.00112256,0.000084194,0.00110367,0.000031624,0.237230869,0.001946076,0.013126412
25,0.261718242,0.484082917,0.001132277,0.000084896,0.001112284,0.000031883,0.236116295,0.001947974,0.013773232
26,0.261794256,0.484448374,0.001142216,0.000085612,0.001121128,0.000032147,0.235009595,0.001949888,0.014416783
27,0.261869663,0.484809332,0.001152383,0.000086344,0.001130203,0.000032416,0.233910768,0.001951818,0.015057073
28,0.261758691,0.48533548,0.001162783,0.000087092,0.00113951,0.00003269,0.232819812,0.001953765,0.015710176
29,0.260721121,0.486701952,0.001173431,0.000087857,0.001149051,0.000032971,0.231736728,0.001955728,0.016441162
30,0.259687024,0.488058569,0.001184333,0.000088639,0.00115883,0.000033257,0.230661514,0.001957708,0.017170125
31,0.258656376,0.489405356,0.001195493,0.000089439,0.001168851,0.00003355,0.229594172,0.001959707,0.017897056
32,0.257666783,0.490821805,0.001206914,0.000090258,0.001179118,0.000033849,0.228534704,0.001961723,0.018504846
33,0.256867826,0.492624826,0.001218611,0.000091095,0.001189635,0.000034156,0.227483113,0.001963758,0.018526981
34,0.256070643,0.494417307,0.001230593,0.000091953,0.001200408,0.000034469,0.226439402,0.001965811,0.018549414
35,0.255275215,0.496199259,0.001242863,0.000092831,0.001211444,0.00003479,0.225403575,0.001967884,0.01857214
36,0.254470063,0.497910077,0.001255422,0.00009373,0.001222747,0.000035118,0.224375639,0.001969977,0.018667227
37,0.253609594,0.499308261,0.001268266,0.00009465,0.001234322,0.000035454,0.223355602,0.00197209,0.019121762
38,0.25275127,0.500696937,0.001281397,0.000095591,0.001246173,0.000035798,0.222343469,0.001974224,0.019575141
39,0.251895071,0.502076117,0.001294821,0.000096554,0.001258302,0.00003615,0.22133925,0.001976379,0.020027356
40,0.251190661,0.503478002,0.001308542,0.000097539,0.001270714,0.00003651,0.220342954,0.001978555,0.020296523
41,0.251235316,0.505030106,0.00132258,0.000098547,0.001283413,0.000036878,0.21935459,0.001980754,0.019657816
42,0.251279117,0.506572333,0.001336946,0.000099577,0.001296407,0.000037255,0.218374168,0.001982976,0.019021222
43,0.251322042,0.50810468,0.001351643,0.000100632,0.001309702,0.00003764,0.217401701,0.001985221,0.018386741
44,0.251202364,0.509533269,0.001366675,0.00010171,0.001323305,0.000038034,0.216437201,0.001987489,0.018009952
45,0.250275565,0.510484816,0.001382022,0.000102813,0.001337221,0.000038438,0.215480684,0.001989782,0.018908659
46,0.249351279,0.511428684,0.001397683,0.00010394,0.00135145,0.00003885,0.214532163,0.0019921,0.019803852
47,0.24842948,0.512364873,0.001413665,0.000105092,0.001365994,0.000039272,0.213591653,0.001994443,0.020695529
48,0.247746583,0.513034178,0.001429976,0.000106268,0.001380857,0.000039703,0.21265917,0.001996812,0.021606453
49,0.248247558,0.512403291,0.001446605,0.000107469,0.00139604,0.000040143,0.211734729,0.001999208,0.022624958
50,0.248748512,0.511771207,0.00146355,0.000108694,0.001411545,0.000040593,0.210818345,0.00200163,0.023635924
51,0.24924942,0.51113789,0.001480821,0.000109944,0.001427373,0.000041051,0.209910036,0.00200408,0.024639384
52,0.249506457,0.510847778,0.001498427,0.000111219,0.001443526,0.00004152,0.209009816,0.002006559,0.025534698
