"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","CL","CS","CE","CIS","CIA","CH","CR","CD","CV"
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266989653,0.463800039,0.000763665,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000327505
2,0.267725718,0.463994196,0.00082919,0.000077277,0.001088937,0.000067438,0.263656821,0.001906588,0.000653835
3,0.268466759,0.464185549,0.000875832,0.00007424,0.00105651,0.000051672,0.262401655,0.001908782,0.000979001
4,0.269203347,0.464444476,0.000909653,0.000072817,0.00103537,0.00004201,0.261142564,0.001910738,0.001239024
5,0.269901069,0.465058348,0.00093478,0.000072364,0.001022102,0.000036156,0.259883732,0.001912556,0.001178894
6,0.270601262,0.465664116,0.000954021,0.000072479,0.001014355,0.000032672,0.258627866,0.001914296,0.001118934
7,0.271303593,0.466261182,0.000969287,0.000072911,0.00101051,0.000030655,0.257376722,0.001915997,0.001059143
8,0.271899064,0.466794331,0.000981884,0.00007351,0.001009447,0.000029544,0.256131438,0.001917682,0.0011631
9,0.271951529,0.467047416,0.000992692,0.000074187,0.001010391,0.000028987,0.25489275,0.001919364,0.002082685
10,0.272003825,0.467296115,0.001002321,0.000074891,0.001012801,0.000028765,0.253661133,0.001921052,0.002999097
11,0.272055869,0.467540317,0.001011192,0.000075597,0.0010163,0.000028744,0.252436893,0.001922749,0.003912339
12,0.272002996,0.46813334,0.001019598,0.000076291,0.001020625,0.00002884,0.251220227,0.001924458,0.004573624
13,0.271427589,0.470485933,0.001027772,0.00007697,0.001025595,0.000029004,0.250011258,0.00192618,0.0039897
14,0.270853012,0.472829946,0.001035863,0.000077635,0.001031087,0.000029205,0.248810064,0.001927917,0.003405271
15,0.270279237,0.475165353,0.001043966,0.000078289,0.001037015,0.000029426,0.247616696,0.001929668,0.002820351
16,0.269608579,0.477147397,0.001052145,0.000078935,0.001043319,0.000029659,0.246431182,0.001931433,0.002677351
17,0.26845269,0.477401472,0.001060404,0.000079578,0.001049955,0.000029896,0.245253543,0.001933212,0.004739249
18,0.267301296,0.477649921,0.001068763,0.00008022,0.001056885,0.000030137,0.244083788,0.001935006,0.006793984
19,0.266154364,0.47789277,0.001077252,0.000080864,0.001064083,0.00003038,0.242921921,0.001936814,0.008841553
20,0.265052292,0.478318138,0.001085894,0.000081512,0.001071529,0.000030624,0.241767942,0.001938637,0.010653433
21,0.26415569,0.479675023,0.001094729,0.000082167,0.001079212,0.00003087,0.240621849,0.001940474,0.011319987
22,0.263261595,0.481021735,0.001103777,0.00008283,0.001087129,0.000031118,0.239483639,0.001942327,0.01198585
23,0.262369987,0.482358307,0.001113044,0.000083505,0.001095278,0.000031369,0.23835331,0.001944194,0.012651006
24,0.261641641,0.483522659,0.001122537,0.000084193,0.001103658,0.000031624,0.237230858,0.001946076,0.013316755
25,0.261718248,0.483868835,0.001132249,0.000084894,0.001112269,0.000031883,0.236116281,0.001947974,0.013987367
26,0.261794263,0.48420945,0.001142184,0.000085611,0.001121111,0.000032147,0.235009578,0.001949888,0.014655769
27,0.26186967,0.484544519,0.001152346,0.000086342,0.001130183,0.000032415,0.233910748,0.001951818,0.015321959
28,0.2617587,0.485043753,0.00116274,0.00008709,0.001139487,0.00003269,0.232819788,0.001953764,0.016001987
29,0.260721132,0.48638222,0.001173382,0.000087854,0.001149024,0.00003297,0.231736699,0.001955728,0.016760992
30,0.259687037,0.487709646,0.001184277,0.000088636,0.001158799,0.000033256,0.23066148,0.001957708,0.017519161
31,0.258656392,0.489026067,0.00119543,0.000089436,0.001168815,0.000033549,0.229594132,0.001959706,0.018276474
32,0.257666801,0.490410888,0.001206843,0.000090254,0.001179077,0.000033848,0.228534657,0.001961722,0.01891591
33,0.256867847,0.492181481,0.001218531,0.000091091,0.001189588,0.000034154,0.227483058,0.001963757,0.018970493
34,0.256070667,0.493941636,0.001230504,0.000091948,0.001200355,0.000034467,0.226439337,0.001965811,0.019025274
35,0.255275243,0.495691363,0.001242763,0.000092825,0.001211384,0.000034788,0.2254035,0.001967883,0.01908025
36,0.254470096,0.497370133,0.001255312,0.000093723,0.00122268,0.000035116,0.224375553,0.001969976,0.019207411
37,0.253609631,0.498736241,0.001268144,0.000094643,0.001234247,0.000035452,0.223355502,0.001972089,0.019694051
38,0.252751312,0.500092173,0.001281263,0.000095584,0.001246089,0.000035795,0.222343355,0.001974222,0.020180206
39,0.25189512,0.501437946,0.001294673,0.000096546,0.001258209,0.000036147,0.22133912,0.001976377,0.020665862
40,0.251190716,0.502805526,0.00130838,0.00009753,0.00127061,0.000036507,0.220342806,0.001978554,0.020969372
41,0.251235379,0.504322768,0.001322403,0.000098536,0.001283299,0.000036875,0.219354421,0.001980752,0.020365566
42,0.251279187,0.505831424,0.001336753,0.000099566,0.001296281,0.000037251,0.218373978,0.001982974,0.019762586
43,0.251322121,0.507331483,0.001351433,0.000100619,0.001309564,0.000037636,0.217401486,0.001985218,0.019160439
44,0.251202453,0.508729462,0.001366448,0.000101696,0.001323154,0.00003803,0.216436961,0.001987487,0.01881431
45,0.250275665,0.509651833,0.001381777,0.000102798,0.001337055,0.000038433,0.215480414,0.001989779,0.019742245
46,0.24935139,0.510565053,0.001397418,0.000103924,0.001351269,0.000038845,0.214531862,0.001992097,0.020668143
47,0.248429604,0.511469136,0.001413379,0.000105074,0.001365797,0.000039266,0.213591318,0.001994439,0.021591986
48,0.24774672,0.512104935,0.00142967,0.000106249,0.001380643,0.000039697,0.212658798,0.001996808,0.022536481
49,0.24824771,0.511439158,0.001446275,0.000107448,0.00139581,0.000040136,0.211734316,0.001999203,0.023589943
50,0.248748681,0.510770539,0.001463197,0.000108672,0.001411296,0.000040585,0.21081789,0.002001625,0.024637515
51,0.249249606,0.510099069,0.001480443,0.00010992,0.001427104,0.000041044,0.209909534,0.002004075,0.025679205
52,0.249506662,0.509768995,0.001498023,0.000111193,0.001443237,0.000041511,0.209009264,0.002006553,0.026614562
53,0.248546952,0.511151474,0.001515977,0.000112492,0.001459699,0.000041988,0.208117096,0.00200906,0.027045262
54,0.247589865,0.512522834,0.001534324,0.000113817,0.001476502,0.000042475,0.20723305,0.002011595,0.027475537
55,0.246635377,0.513883083,0.001553066,0.000115169,0.001493656,0.000042972,0.206357144,0.002014161,0.027905372
56,0.245739729,0.51500661,0.001572207,0.00011655,0.001511169,0.000043479,0.205489401,0.002016757,0.028504098
57,0.245126738,0.514996418,0.00159172,0.00011796,0.001529048,0.000043996,0.204629842,0.002019385,0.029944892
58,0.244514118,0.51498295,0.001611599,0.000119399,0.001547294,0.000044524,0.203778493,0.002022044,0.031379579
59,0.24390185,0.514966188,0.001631856,0.000120865,0.00156591,0.000045063,0.202935376,0.002024735,0.032808156
60,0.243279927,0.515010112,0.0016525,0.000122361,0.001584898,0.000045613,0.202100516,0.00202746,0.034176612
61,0.242608568,0.515368989,0.001673549,0.000123886,0.001604266,0.000046174,0.201273938,0.002030218,0.035270412
62,0.241937822,0.515721917,0.001695014,0.000125441,0.001624018,0.000046746,0.200455667,0.002033011,0.036360365
63,0.241267667,0.516068886,0.001716902,0.000127027,0.001644163,0.000047329,0.199645731,0.002035839,0.037446457
64,0.24072587,0.516083799,0.001739219,0.000128644,0.001664708,0.000047923,0.198844157,0.002038702,0.038726977
65,0.240822674,0.514472246,0.001761927,0.000130292,0.001685656,0.000048529,0.198050976,0.002041602,0.040986098
66,0.240918154,0.512869894,0.001785017,0.000131971,0.001707006,0.000049147,0.197266217,0.002044539,0.043228056
67,0.241012284,0.51127664,0.001808503,0.00013368,0.001728757,0.000049777,0.196489908,0.002047514,0.045452938
68,0.241178871,0.509671901,0.001832396,0.00013542,0.001750912,0.000050419,0.195722078,0.002050527,0.047607477
69,0.241713958,0.507971862,0.00185671,0.000137191,0.001773473,0.000051072,0.194962756,0.00205358,0.049479399
70,0.242248744,0.506277678,0.001881454,0.000138994,0.001796447,0.000051737,0.194211972,0.002056672,0.051336303
71,0.242783196,0.504589279,0.001906637,0.000140829,0.001819837,0.000052414,0.193469756,0.002059806,0.053178248
72,0.243061878,0.503226784,0.001932265,0.000142696,0.00184365,0.000053103,0.192736141,0.00206298,0.054940503
73,0.242065702,0.503462349,0.001958385,0.000144597,0.001867895,0.000053804,0.192011157,0.002066197,0.056369915
74,0.241072068,0.503691252,0.001985015,0.000146532,0.001892584,0.000054518,0.191294841,0.002069456,0.057793735
75,0.240080949,0.503913487,0.002012158,0.000148504,0.001917732,0.000055245,0.190587228,0.002072759,0.059211939
76,0.23932927,0.503772591,0.002039817,0.000150512,0.001943347,0.000055985,0.189888358,0.002076107,0.060744012
77,0.239763554,0.501852615,0.002067951,0.000152559,0.001969439,0.000056739,0.189198271,0.0020795,0.062859373
78,0.240196926,0.499942093,0.002096548,0.000154642,0.001996006,0.000057507,0.188517008,0.002082939,0.064956332
79,0.240629348,0.49804092,0.002125623,0.000156761,0.00202305,0.000058289,0.187844609,0.002086424,0.067034975
80,0.241077683,0.496334545,0.002155187,0.000158918,0.002050575,0.000059084,0.187181116,0.002089958,0.068892933
81,0.241609738,0.495557361,0.002185293,0.000161112,0.002078586,0.000059894,0.186526571,0.00209354,0.069727903
82,0.242141126,0.494776509,0.002215964,0.000163346,0.002107099,0.000060719,0.185881016,0.002097172,0.070557049
83,0.242671805,0.493991971,0.002247204,0.000165619,0.002136125,0.000061558,0.185244497,0.002100854,0.071380367
84,0.243188434,0.493419992,0.002279017,0.000167934,0.002165676,0.000062412,0.184617062,0.002104587,0.071994885
85,0.243637606,0.493921442,0.002311458,0.000170291,0.002195765,0.000063281,0.18399876,0.002108373,0.071593025
86,0.244085616,0.494412464,0.002344549,0.000172693,0.002226411,0.000064166,0.183389644,0.002112211,0.071192246
87,0.244532418,0.494893034,0.002378291,0.000175141,0.002257633,0.000065068,0.182789769,0.002116104,0.070792541
88,0.244836047,0.49554731,0.00241269,0.000177635,0.002289445,0.000065986,0.182199195,0.002120052,0.07035164
89,0.244428968,0.497111682,0.002447779,0.000180178,0.002321861,0.000066923,0.181617981,0.002124056,0.069700571
90,0.24402045,0.498665468,0.002483574,0.000182771,0.002354901,0.000067877,0.181046192,0.002128118,0.069050648
91,0.24361046,0.500208607,0.002520082,0.000185415,0.002388581,0.000068849,0.180483896,0.002132238,0.068401872
92,0.243089648,0.501822261,0.002557309,0.000188111,0.002422915,0.000069841,0.17993116,0.002136418,0.067782337
93,0.242023194,0.503829136,0.002595272,0.000190861,0.002457918,0.000070852,0.179388057,0.002140658,0.067304052
94,0.240959182,0.505821542,0.002633982,0.000193664,0.002493604,0.000071883,0.178854661,0.00214496,0.06682652
95,0.239897577,0.507799413,0.002673449,0.000196523,0.002529988,0.000072935,0.178331049,0.002149326,0.06634974
96,0.239086804,0.509105406,0.002713684,0.000199438,0.002567083,0.000074007,0.177817299,0.002153756,0.066282524
97,0.239519134,0.507126174,0.002754555,0.000202409,0.002604892,0.0000751,0.177313491,0.002158252,0.068245994
98,0.23994979,0.505155198,0.002796022,0.000205433,0.002643401,0.000076214,0.176819703,0.002162814,0.070191425
99,0.240378715,0.503192373,0.002838118,0.000208509,0.002682598,0.000077348,0.176336012,0.002167445,0.072118883
100,0.240559663,0.501924597,0.002880865,0.000211636,0.002722479,0.000078503,0.175862489,0.002172145,0.073587623
101,0.239510839,0.504085902,0.002924446,0.000214815,0.002763054,0.000079677,0.175399208,0.002176915,0.072845143
102,0.238464019,0.506232351,0.00296893,0.000218051,0.002804357,0.000080872,0.174946246,0.002181758,0.072103416
103,0.23741917,0.508363857,0.003014311,0.000221347,0.002846419,0.000082088,0.174503684,0.002186673,0.071362452
104,0.236613243,0.509958582,0.003060586,0.000224705,0.002889264,0.000083326,0.174071612,0.002191662,0.070907021
105,0.236992498,0.508938045,0.003107636,0.000228127,0.002932906,0.000084587,0.173650118,0.002196727,0.071869356
106,0.23736956,0.507915006,0.003155426,0.00023161,0.00297734,0.000085871,0.173239296,0.00220187,0.072824022
107,0.237744368,0.506889421,0.003203981,0.000235153,0.003022562,0.000087178,0.172839234,0.00220709,0.073771013
108,0.237957909,0.506099523,0.003253318,0.000238757,0.003068574,0.000088509,0.172450021,0.002212391,0.074630997
109,0.23737516,0.506494063,0.003303508,0.000242422,0.003115384,0.000089863,0.172071747,0.002217773,0.075090081
110,0.236790875,0.506879599,0.00335458,0.000246149,0.003163006,0.00009124,0.171704503,0.002223237,0.075546811
111,0.236205022,0.507256076,0.003406541,0.000249941,0.003211456,0.00009264,0.171348382,0.002228786,0.076001156
112,0.235555765,0.507866205,0.003459399,0.000253798,0.003260748,0.000094065,0.171003479,0.002234419,0.076272121
113,0.234597336,0.509677066,0.003513234,0.000257722,0.0033109,0.000095514,0.170669892,0.00224014,0.075638196
114,0.233639687,0.51147273,0.00356808,0.000261715,0.003361938,0.000096989,0.170347723,0.00224595,0.075005189
115,0.232682783,0.513253094,0.003623939,0.000265781,0.003413885,0.000098489,0.170037077,0.002251849,0.074373103
116,0.23193377,0.514863997,0.003680813,0.00026992,0.003466763,0.000100016,0.169738065,0.00225784,0.073688816
117,0.232219749,0.515689548,0.003738692,0.000274134,0.003520588,0.000101571,0.169450798,0.002263924,0.072740995
118,0.232502704,0.51650168,0.003797577,0.000278423,0.003575374,0.000103153,0.169175391,0.002270103,0.071795593
119,0.232782563,0.517300307,0.003857481,0.000282789,0.003631133,0.000104764,0.168911961,0.002276379,0.070852622
120,0.23281034,0.517908772,0.003918415,0.000287231,0.003687877,0.000106404,0.168660627,0.002282754,0.070337581
121,0.231594666,0.517625158,0.003980275,0.00029175,0.003745611,0.000108072,0.168421507,0.002289228,0.071943734
122,0.230381804,0.517333961,0.00404303,0.000296343,0.003804325,0.000109769,0.168194719,0.002295805,0.073540244
123,0.229171716,0.517035132,0.004106707,0.00030101,0.003864012,0.000111495,0.16798038,0.002302484,0.075127064
124,0.228024664,0.516653811,0.004171325,0.00030575,0.003924669,0.000113249,0.167778602,0.002309269,0.07671866
125,0.227179943,0.515894049,0.004236882,0.000310563,0.003986297,0.000115031,0.1675895,0.002316161,0.078371574
126,0.226334632,0.515131994,0.004303384,0.000315448,0.004048894,0.000116842,0.167413186,0.002323161,0.080012459
127,0.225488702,0.514367572,0.004370843,0.000320406,0.004112463,0.00011868,0.16724977,0.002330271,0.081641293
128,0.224850489,0.513650337,0.004439269,0.000325438,0.004177005,0.000120546,0.167099365,0.002337494,0.083000058
129,0.22525251,0.513173283,0.004508739,0.000330544,0.00424253,0.00012244,0.166962081,0.002344829,0.083063045
130,0.225651265,0.512686084,0.004579281,0.000335726,0.004309054,0.000124362,0.166838033,0.002352279,0.083123916
131,0.226046672,0.512188712,0.004650893,0.000340986,0.004376594,0.000126313,0.166727336,0.002359847,0.083182648
132,0.226397066,0.511627702,0.004723573,0.000346325,0.004445163,0.000128293,0.166630109,0.002367533,0.083334238
133,0.226535712,0.510792202,0.004797287,0.000351744,0.004514768,0.000130303,0.166546471,0.002375339,0.083956175
134,0.226670201,0.509951051,0.004872025,0.000357242,0.004585413,0.000132343,0.166476543,0.002383267,0.084571915
135,0.226800463,0.509104214,0.004947794,0.000362819,0.004657101,0.000134413,0.166420444,0.00239132,0.085181433
136,0.226697552,0.508466759,0.005024598,0.000368476,0.004729834,0.000136513,0.166378294,0.002399498,0.085798478
137,0.225450605,0.508892776,0.005102491,0.000374213,0.004803618,0.000138643,0.166350213,0.002407803,0.086479638
138,0.224206118,0.509303805,0.005181492,0.000380032,0.004878468,0.000140804,0.166336322,0.002416238,0.087156721
139,0.222964063,0.509699805,0.005261597,0.000385932,0.004954393,0.000142996,0.166336744,0.002424804,0.087829665
140,0.221789762,0.510289775,0.005342801,0.000391916,0.005031403,0.000145219,0.166351603,0.002433503,0.088224017
141,0.220942485,0.511907771,0.005425231,0.000397984,0.005109513,0.000147473,0.166381024,0.002442336,0.087246183
142,0.220093859,0.513508276,0.005508928,0.00040414,0.005188754,0.000149759,0.166425136,0.002451307,0.086269841
143,0.219243858,0.515091147,0.005593875,0.000410386,0.00526915,0.000152078,0.166484073,0.002460416,0.085295016
144,0.218535507,0.516576054,0.005680059,0.000416725,0.005350721,0.000154431,0.166557971,0.002469666,0.084258866
145,0.218539304,0.517642521,0.005767468,0.000423155,0.00543348,0.000156818,0.166646971,0.00247906,0.082911223
146,0.218538245,0.518692659,0.005856094,0.000429679,0.005517439,0.000159239,0.166751214,0.002488597,0.081566835
147,0.218532259,0.519726344,0.005945933,0.000436295,0.005602604,0.000161696,0.166870842,0.002498283,0.080225745
148,0.218403362,0.52046904,0.006036983,0.000443005,0.005688981,0.000164188,0.167005998,0.002508117,0.079280326
149,0.217681428,0.519830449,0.006129041,0.000449806,0.005776564,0.000166715,0.167156823,0.002518102,0.080291072
150,0.216956807,0.51918514,0.006222033,0.000456694,0.005865316,0.000169277,0.167323456,0.002528241,0.081293037
151,0.216229476,0.518533061,0.006315981,0.000463664,0.005955206,0.000171873,0.167506024,0.002538534,0.082286181
152,0.215531104,0.518127449,0.006410898,0.000470715,0.006046212,0.000174501,0.167704652,0.002548985,0.082985484
153,0.214987792,0.518975331,0.006506956,0.000477847,0.006138326,0.000177161,0.16791946,0.002559595,0.082257533
154,0.214440572,0.519806768,0.006604214,0.000485062,0.006231567,0.000179853,0.168150566,0.002570365,0.081531033
155,0.213889417,0.520621665,0.006702641,0.000492362,0.006325949,0.000182576,0.168398095,0.002581298,0.080805998
156,0.213349677,0.521380305,0.006802213,0.000499749,0.006421479,0.000185332,0.168662168,0.002592396,0.080106681
157,0.212882581,0.521924764,0.006902888,0.000507223,0.006518158,0.00018812,0.168942911,0.00260366,0.079529694
158,0.212411019,0.522453385,0.007004641,0.000514782,0.006615983,0.000190941,0.169240447,0.002615092,0.078953709
159,0.211934962,0.522966094,0.007107457,0.000522426,0.006714945,0.000193795,0.169554897,0.002626695,0.078378729
160,0.21136152,0.523501778,0.007211319,0.000530154,0.006815037,0.000196681,0.16988638,0.002638471,0.077858661
161,0.210321705,0.524214718,0.007316206,0.000537965,0.006916249,0.000199599,0.170235013,0.00265042,0.077608125
162,0.209281368,0.524908897,0.007422097,0.000545857,0.007018569,0.000202549,0.170600911,0.002662545,0.077357207
163,0.208240507,0.525584249,0.007528974,0.00055383,0.007121983,0.00020553,0.170984185,0.002674848,0.077105893
164,0.207405294,0.526178735,0.007636815,0.000561881,0.007226478,0.000208543,0.171384942,0.002687331,0.076709981
165,0.207598041,0.526443706,0.007745632,0.00057001,0.00733204,0.000211586,0.171803287,0.002699996,0.075595702
166,0.207785086,0.526690519,0.00785541,0.000578216,0.007438659,0.000214659,0.172239321,0.002712843,0.074485286
167,0.207966355,0.526919147,0.007966121,0.000586498,0.007546322,0.000217761,0.172693145,0.002725876,0.073378775
168,0.207896451,0.526914969,0.008077735,0.000594855,0.007655013,0.000220893,0.173164853,0.002739095,0.072736136
169,0.20659957,0.525827583,0.008189952,0.000603281,0.007764699,0.000224054,0.173654537,0.002752502,0.074383823
170,0.205304802,0.52473405,0.008302647,0.00061177,0.007875304,0.000227242,0.174162276,0.0027661,0.076015809
171,0.204012162,0.523634398,0.008415828,0.000620315,0.007986764,0.000230455,0.174688138,0.002779888,0.077632053
172,0.202821711,0.52236855,0.008529485,0.00062891,0.008099024,0.000233691,0.175232175,0.002793869,0.079292586
173,0.202130356,0.520304186,0.008643504,0.000637551,0.008212028,0.000236948,0.175794431,0.002808044,0.081232952
174,0.201435303,0.518247085,0.008757827,0.000646232,0.008325712,0.000240225,0.176374938,0.002822413,0.083150265
175,0.200736573,0.516197243,0.008872433,0.000654949,0.008440019,0.000243519,0.176973715,0.002836978,0.085044571
176,0.199989847,0.514685198,0.008987295,0.000663697,0.008554894,0.000246828,0.177590771,0.002851739,0.086429731
177,0.199019121,0.515816224,0.009102833,0.000672478,0.008670316,0.000250151,0.178226107,0.002866698,0.085376072
178,0.198047042,0.516926124,0.009219162,0.000681298,0.008786328,0.000253488,0.178879726,0.002881854,0.084324978
179,0.197073646,0.518014877,0.009336171,0.000690162,0.008902954,0.00025684,0.179551637,0.002897209,0.083276504
180,0.196176234,0.518698584,0.009453771,0.000699071,0.009020201,0.000260207,0.180241853,0.002912765,0.082537314
181,0.195661929,0.517453382,0.009571558,0.000708023,0.009138039,0.000263591,0.180950388,0.002928521,0.08332457
182,0.195142857,0.516204175,0.009689356,0.000717006,0.009256385,0.00026699,0.181677242,0.002944478,0.084101512
183,0.194619039,0.514951061,0.009807148,0.000726012,0.009375161,0.000270402,0.182422401,0.002960638,0.084868137
184,0.194027686,0.514052579,0.009924908,0.000735035,0.009494299,0.000273825,0.183185836,0.002977001,0.085328829
185,0.193119273,0.514932456,0.010042922,0.000744072,0.009613755,0.000277257,0.183967509,0.002993568,0.084309187
186,0.19220903,0.515792203,0.010161255,0.000753127,0.009733531,0.000280697,0.184767376,0.003010338,0.083292442
187,0.191297007,0.516631862,0.010279809,0.000762199,0.009853622,0.000284143,0.185585395,0.003027312,0.08227865
188,0.190363463,0.516991243,0.010398499,0.000771288,0.009974007,0.000287597,0.186421519,0.00304449,0.081747893
189,0.189330005,0.515047486,0.010516757,0.000780387,0.010094624,0.000291057,0.187275699,0.003061874,0.083602111
190,0.188296151,0.513109566,0.010634347,0.000789481,0.01021534,0.000294521,0.188147864,0.003079462,0.085433268
191,0.187261969,0.511177578,0.010751276,0.000798557,0.010336035,0.000297986,0.189037919,0.003097256,0.087241424
192,0.186308553,0.509393879,0.010867526,0.000807607,0.010456604,0.000301447,0.189945751,0.003115253,0.088803378
193,0.185757744,0.508320334,0.010983263,0.000816625,0.010576971,0.000304902,0.190871227,0.003133455,0.089235479
194,0.185202661,0.50724171,0.011098506,0.00082561,0.010697091,0.000308348,0.191814204,0.00315186,0.08966001
195,0.184643367,0.506158213,0.011213171,0.000834559,0.010816917,0.000311783,0.19277453,0.003170467,0.090076992
196,0.184131683,0.504934924,0.011327179,0.00084347,0.010936395,0.000315207,0.193752046,0.003189276,0.090569819
197,0.18387392,0.503036751,0.011440328,0.000852337,0.011055462,0.000318616,0.194746584,0.003208286,0.091467716
198,0.183610727,0.501142675,0.011552504,0.000861152,0.011174032,0.00032201,0.19575796,0.003227496,0.092351443
199,0.183342154,0.499252923,0.011663654,0.00086991,0.011292024,0.000325387,0.196785977,0.003246904,0.093221068
200,0.182951333,0.497371117,0.011773719,0.000878603,0.011409358,0.000328743,0.197830424,0.00326651,0.094190193
201,0.181973683,0.4955123,0.01188257,0.000887226,0.011525956,0.000332077,0.198891077,0.003286311,0.0957088
202,0.180995709,0.493660736,0.011990122,0.000895771,0.01164173,0.000335386,0.199967695,0.003306307,0.097206545
203,0.180017514,0.491816622,0.012096319,0.000904231,0.011756596,0.000338668,0.201060023,0.003326496,0.098683532
204,0.179053517,0.490307476,0.0122011,0.000912601,0.011870474,0.000341919,0.202167795,0.003346875,0.099798242
205,0.178160556,0.49042963,0.012304819,0.000920879,0.011983314,0.000345139,0.203290728,0.003367443,0.099197492
206,0.177266796,0.490538391,0.012407544,0.000929069,0.012095122,0.000348326,0.204428541,0.003388197,0.098598015
207,0.176372343,0.490634027,0.012509142,0.000937173,0.012205887,0.00035148,0.205580952,0.003409136,0.09799986
208,0.175465213,0.490354011,0.012609504,0.000945189,0.012315584,0.000354601,0.20674768,0.003430258,0.097777961
209,0.174497613,0.488264402,0.012708055,0.000953111,0.012424142,0.000357688,0.207928436,0.003451561,0.099414993
210,0.173530416,0.486187693,0.012804559,0.000960922,0.01253142,0.000360739,0.209122913,0.003473042,0.101028296
211,0.172563736,0.484124075,0.012899015,0.00096861,0.012637292,0.000363751,0.210330781,0.003494699,0.102618043
212,0.171704825,0.482087129,0.0129914,0.000976166,0.012741647,0.000366719,0.211551686,0.003516529,0.104063899
213,0.171379691,0.48012808,0.013081771,0.000983583,0.012844395,0.000369641,0.212785261,0.003538529,0.10488905
214,0.171050558,0.478179185,0.013170113,0.000990856,0.012945464,0.000372512,0.214031121,0.003560697,0.105699493
215,0.170717532,0.476240735,0.013256364,0.000997982,0.013044786,0.000375332,0.215288874,0.003583029,0.106495368
216,0.170360556,0.4744516,0.013340463,0.001004956,0.013142295,0.000378097,0.216558114,0.003605521,0.107158399
217,0.169899436,0.473360135,0.013422528,0.001011776,0.013237934,0.000380806,0.217838428,0.00362817,0.107220786
218,0.169435328,0.472269863,0.013502558,0.001018441,0.013331674,0.000383458,0.219129395,0.003650974,0.107278309
219,0.16896835,0.471181129,0.013580468,0.00102495,0.013423477,0.000386053,0.220430594,0.003673927,0.107331053
220,0.168507947,0.470307532,0.013656184,0.0010313,0.0135133,0.000388588,0.221741594,0.003697028,0.107156527
221,0.168091366,0.470495311,0.01372995,0.00103749,0.013601114,0.000391063,0.223061964,0.003720271,0.10587147
222,0.167671974,0.470674268,0.013801804,0.001043524,0.013686929,0.000393479,0.224391271,0.003743654,0.104593095
223,0.167249886,0.470844758,0.013871642,0.001049404,0.013770742,0.000395835,0.225729087,0.003767174,0.103321472
224,0.166725409,0.470847422,0.013939376,0.001055128,0.013852534,0.000398132,0.227074984,0.003790826,0.102316188
225,0.165702663,0.470049489,0.014004635,0.001060691,0.013932258,0.000400368,0.228428532,0.003814607,0.102606757
226,0.164682804,0.469252225,0.014067261,0.001066083,0.014009822,0.000402544,0.229789288,0.003838514,0.10289146
227,0.163665953,0.468455974,0.014127254,0.001071295,0.014085141,0.000404656,0.231156798,0.003862542,0.103170387
228,0.162692504,0.467519815,0.014184604,0.001076322,0.014158143,0.000406702,0.232530591,0.003886687,0.103544632
229,0.161922148,0.465886149,0.014239115,0.001081156,0.014228753,0.000408679,0.23391019,0.003910946,0.104412864
230,0.161152516,0.46426582,0.014290713,0.00108579,0.01429688,0.000410585,0.2352951,0.003935314,0.105267283
231,0.16038374,0.462659096,0.014339408,0.001090217,0.014362447,0.000412417,0.236684815,0.003959786,0.106108074
232,0.159598988,0.461452222,0.014385204,0.001094433,0.014425388,0.000414173,0.238078817,0.003984358,0.106566418
233,0.158731149,0.46217548,0.014428664,0.001098439,0.014485683,0.00041585,0.239476583,0.004009026,0.105179128
234,0.157865608,0.462890393,0.014469957,0.001102247,0.014543396,0.00041745,0.240877596,0.004033783,0.103799572
235,0.157002486,0.463597341,0.014508974,0.001105863,0.014598572,0.000418973,0.242281353,0.004058627,0.102427811
236,0.15614299,0.46404345,0.014545638,0.001109292,0.014651236,0.000420422,0.243687362,0.004083552,0.101316058
237,0.155291556,0.463224876,0.014579506,0.001112531,0.014701372,0.000421797,0.245095136,0.004108555,0.101464671
238,0.154442815,0.462412021,0.014610416,0.00111557,0.014748904,0.000423098,0.246504182,0.004133631,0.101609362
