"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","NCL","NCS","NCE","NCIS","NCIA","NCH","NCR","NCD","NCV"
0,0.266260097,0.463606046,0.00067033,0.00009283,0.00120986,0.000134158,0.266125939,0.00190074,0
1,0.266174788,0.464659094,0.000763672,0.000082945,0.001137632,0.000092978,0.26490159,0.001903993,0.000283308
2,0.266094013,0.465713321,0.000829215,0.000077277,0.00108894,0.000067438,0.263656821,0.001906588,0.000566386
3,0.266016206,0.466765801,0.000875885,0.000074241,0.001056518,0.000051672,0.262401657,0.001908782,0.000849239
4,0.265940304,0.467814562,0.00090974,0.000072819,0.001035388,0.00004201,0.261142568,0.001910738,0.00113187
5,0.265865588,0.468858281,0.000934902,0.000072368,0.001022134,0.000036157,0.25988374,0.001912556,0.001414275
6,0.265791565,0.469896068,0.000954176,0.000072484,0.001014404,0.000032673,0.258627882,0.001914296,0.001696453
7,0.265717898,0.47092733,0.000969473,0.000072918,0.001010578,0.000030657,0.257376749,0.001915998,0.001978399
8,0.265644354,0.471951671,0.0009821,0.000073519,0.001009537,0.000029547,0.25613148,0.001917683,0.002260109
9,0.265570773,0.472968829,0.000992951,0.000074199,0.001010505,0.00002899,0.254892811,0.001919365,0.002541578
10,0.265497039,0.473978635,0.001002637,0.000074906,0.001012943,0.000028769,0.253661218,0.001921053,0.002822801
11,0.265423072,0.474980978,0.00101158,0.000075615,0.001016476,0.000028749,0.252437008,0.00192275,0.003103773
12,0.26534881,0.475975792,0.00102007,0.000076313,0.001020842,0.000028846,0.251220378,0.00192446,0.00338449
13,0.265274209,0.476963035,0.001028307,0.000076997,0.001025859,0.000029011,0.250011454,0.001926183,0.003664945
14,0.265199233,0.477942688,0.001036433,0.000077666,0.001031398,0.000029214,0.248810314,0.00192792,0.003945135
15,0.265123854,0.478914742,0.001044543,0.000078323,0.001037369,0.000029437,0.247617007,0.001929671,0.004225053
16,0.265048048,0.479879198,0.001052706,0.000078972,0.001043709,0.00002967,0.246431564,0.001931437,0.004504696
17,0.264971794,0.48083606,0.001060971,0.000079617,0.001050374,0.000029909,0.245254,0.001933217,0.004784058
18,0.264895073,0.48178534,0.001069374,0.00008026,0.001057333,0.000030151,0.244084325,0.001935012,0.005063133
19,0.264817867,0.482727048,0.001077938,0.000080907,0.001064564,0.000030394,0.242922543,0.001936821,0.005341917
20,0.26474016,0.483661199,0.001086683,0.000081559,0.001072052,0.000030639,0.241768656,0.001938645,0.005620406
21,0.264661935,0.484587807,0.001095624,0.000082218,0.001079789,0.000030887,0.240622664,0.001940483,0.005898592
22,0.264583178,0.485506886,0.001104771,0.000082888,0.001087767,0.000031136,0.239484565,0.001942337,0.006176473
23,0.264503871,0.486418452,0.001114132,0.000083569,0.001095983,0.000031389,0.238354358,0.001944205,0.006454042
24,0.264424,0.487322518,0.001123715,0.000084263,0.001104434,0.000031646,0.23723204,0.001946089,0.006731294
25,0.264343548,0.4882191,0.001133527,0.000084971,0.001113121,0.000031907,0.236117612,0.001947989,0.007008225
26,0.264262501,0.489108212,0.001143573,0.000085694,0.001122043,0.000032174,0.235011071,0.001949904,0.007284828
27,0.264180843,0.489989868,0.001153857,0.000086433,0.001131201,0.000032445,0.233912417,0.001951836,0.007561099
28,0.264098557,0.49086408,0.001164385,0.000087189,0.001140598,0.000032722,0.232821651,0.001953784,0.007837033
29,0.264015628,0.491730863,0.00117516,0.000087962,0.001150236,0.000033005,0.231738772,0.00195575,0.008112624
30,0.263932039,0.492590227,0.001186188,0.000088753,0.001160117,0.000033295,0.230663781,0.001957733,0.008387867
31,0.263847774,0.493442185,0.001197473,0.000089562,0.001170244,0.000033591,0.229596682,0.001959734,0.008662757
32,0.263762816,0.494286748,0.001209018,0.00009039,0.00118062,0.000033893,0.228537475,0.001961753,0.008937288
33,0.263677148,0.495123926,0.001220829,0.000091237,0.001191249,0.000034203,0.227486164,0.00196379,0.009211454
34,0.263590754,0.495953729,0.001232909,0.000092103,0.001202133,0.00003452,0.226442753,0.001965847,0.009485252
35,0.263503616,0.496776168,0.001245263,0.00009299,0.001213277,0.000034844,0.225407246,0.001967924,0.009758674
36,0.263415716,0.497591249,0.001257895,0.000093896,0.001224684,0.000035175,0.224379648,0.00197002,0.010031716
37,0.263327037,0.498398982,0.00127081,0.000094823,0.001236359,0.000035514,0.223359965,0.001972137,0.010304372
38,0.263237561,0.499199374,0.001284013,0.000095772,0.001248305,0.000035861,0.222348204,0.001974274,0.010576636
39,0.263147269,0.499992431,0.001297508,0.000096741,0.001260526,0.000036216,0.221344373,0.001976433,0.010848503
40,0.263056142,0.500778159,0.001311301,0.000097732,0.001273027,0.000036578,0.220348478,0.001978614,0.011119968
41,0.262964163,0.501556564,0.001325395,0.000098746,0.001285812,0.000036949,0.21936053,0.001980817,0.011391023
42,0.262871312,0.50232765,0.001339797,0.000099781,0.001298886,0.000037328,0.218380538,0.001983043,0.011661665
43,0.262777569,0.503091422,0.001354511,0.00010084,0.001312252,0.000037716,0.217408512,0.001985293,0.011931886
44,0.262682914,0.503847881,0.001369542,0.000101922,0.001325917,0.000038112,0.216444464,0.001987566,0.012201681
45,0.262587329,0.504597031,0.001384897,0.000103027,0.001339885,0.000038517,0.215488406,0.001989864,0.012471045
46,0.262490792,0.505338873,0.001400579,0.000104156,0.00135416,0.000038931,0.214540351,0.001992186,0.01273997
47,0.262393283,0.506073409,0.001416596,0.00010531,0.001368749,0.000039353,0.213600313,0.001994534,0.013008452
48,0.262294781,0.506800638,0.001432953,0.000106489,0.001383655,0.000039785,0.212668307,0.001996908,0.013276484
49,0.262195265,0.507520559,0.001449655,0.000107692,0.001398885,0.000040226,0.211744349,0.001999309,0.01354406
50,0.262094713,0.508233171,0.001466708,0.000108922,0.001414443,0.000040677,0.210828455,0.002001736,0.013811174
51,0.261993104,0.508938472,0.001484119,0.000110177,0.001430336,0.000041137,0.209920643,0.002004192,0.01407782
52,0.261890414,0.509636459,0.001501894,0.000111459,0.001446569,0.000041608,0.209020931,0.002006675,0.01434399
53,0.261786622,0.510327128,0.001520039,0.000112768,0.001463147,0.000042088,0.208129339,0.002009188,0.01460968
54,0.261681705,0.511010474,0.00153856,0.000114105,0.001480077,0.000042578,0.207245888,0.00201173,0.014874882
55,0.261575639,0.511686491,0.001557465,0.000115469,0.001497365,0.000043079,0.206370599,0.002014302,0.01513959
56,0.261468401,0.512355174,0.001576759,0.000116862,0.001515016,0.00004359,0.205503495,0.002016905,0.015403798
57,0.261359966,0.513016514,0.00159645,0.000118284,0.001533038,0.000044111,0.204644599,0.00201954,0.015667498
58,0.26125031,0.513670504,0.001616544,0.000119736,0.001551436,0.000044644,0.203793936,0.002022206,0.015930685
59,0.261139409,0.514317133,0.001637049,0.000121217,0.001570217,0.000045188,0.202951532,0.002024905,0.01619335
60,0.261027236,0.514956394,0.001657972,0.000122728,0.001589387,0.000045743,0.202117414,0.002027638,0.016455488
61,0.260913768,0.515588273,0.00167932,0.000124271,0.001608954,0.000046309,0.201291609,0.002030405,0.016717091
62,0.260798976,0.516212761,0.0017011,0.000125845,0.001628924,0.000046887,0.200474147,0.002033206,0.016978153
63,0.260682836,0.516829842,0.001723321,0.000127452,0.001649305,0.000047477,0.199665059,0.002036043,0.017238666
64,0.26056532,0.517439505,0.001745989,0.000129091,0.001670103,0.000048079,0.198864375,0.002038916,0.017498623
65,0.260446401,0.518041734,0.001769113,0.000130763,0.001691325,0.000048693,0.198072128,0.002041826,0.017758017
66,0.260326051,0.518636514,0.001792701,0.000132469,0.00171298,0.00004932,0.197288352,0.002044773,0.01801684
67,0.260204242,0.519223827,0.001816761,0.000134209,0.001735075,0.000049959,0.196513083,0.00204776,0.018275084
68,0.260080945,0.519803657,0.001841301,0.000135984,0.001757617,0.000050612,0.195746356,0.002050785,0.018532743
69,0.259956132,0.520375984,0.001866329,0.000137795,0.001780614,0.000051277,0.194988209,0.00205385,0.018789809
70,0.259829773,0.520940789,0.001891855,0.000139643,0.001804075,0.000051956,0.194238681,0.002056957,0.019046273
71,0.259701837,0.521498051,0.001917886,0.000141527,0.001828006,0.000052648,0.193497812,0.002060104,0.019302128
72,0.259572295,0.522047749,0.001944431,0.000143448,0.001852418,0.000053355,0.192765644,0.002063295,0.019557366
73,0.259441115,0.522589859,0.0019715,0.000145408,0.001877317,0.000054075,0.192042219,0.002066528,0.019811978
74,0.259308266,0.523124357,0.001999102,0.000147407,0.001902712,0.00005481,0.191327582,0.002069806,0.020065957
75,0.259173716,0.52365122,0.002027245,0.000149445,0.001928613,0.000055559,0.190621778,0.002073129,0.020319294
76,0.259037433,0.52417042,0.002055939,0.000151523,0.001955028,0.000056323,0.189924855,0.002076498,0.020571981
77,0.258899384,0.524681931,0.002085194,0.000153643,0.001981965,0.000057103,0.189236859,0.002079913,0.020824008
78,0.258759535,0.525185724,0.002115019,0.000155803,0.002009434,0.000057897,0.188557842,0.002083377,0.021075369
79,0.258617852,0.52568177,0.002145423,0.000158007,0.002037444,0.000058708,0.187887855,0.002086889,0.021326052
80,0.258474302,0.526170039,0.002176417,0.000160253,0.002066004,0.000059534,0.18722695,0.002090451,0.021576051
81,0.258328848,0.5266505,0.002208011,0.000162543,0.002095124,0.000060376,0.186575181,0.002094063,0.021825354
82,0.258181456,0.527123119,0.002240214,0.000164877,0.002124814,0.000061235,0.185932604,0.002097727,0.022073955
83,0.258032089,0.527587863,0.002273037,0.000167257,0.002155082,0.000062111,0.185299276,0.002101444,0.022321842
84,0.257880712,0.528044696,0.00230649,0.000169683,0.00218594,0.000063003,0.184675256,0.002105214,0.022569006
85,0.257727286,0.528493584,0.002340584,0.000172155,0.002217396,0.000063913,0.184060604,0.002109039,0.022815439
86,0.257571774,0.528934488,0.00237533,0.000174675,0.002249461,0.00006484,0.183455382,0.00211292,0.023061129
87,0.257414138,0.529367371,0.002410737,0.000177244,0.002282146,0.000065786,0.182859654,0.002116857,0.023306068
88,0.257254339,0.529792192,0.002446817,0.000179862,0.00231546,0.000066749,0.182273483,0.002120853,0.023550245
89,0.257092339,0.530208911,0.002483581,0.00018253,0.002349414,0.000067731,0.181696938,0.002124907,0.02379365
90,0.256928096,0.530617487,0.002521039,0.000185248,0.002384019,0.000068732,0.181130086,0.002129021,0.024036273
91,0.256761571,0.531017875,0.002559203,0.000188018,0.002419285,0.000069752,0.180572996,0.002133197,0.024278102
92,0.256592723,0.531410033,0.002598084,0.000190841,0.002455223,0.000070791,0.180025741,0.002137435,0.024519128
93,0.25642151,0.531793914,0.002637693,0.000193717,0.002491845,0.00007185,0.179488393,0.002141737,0.02475934
94,0.256247889,0.532169473,0.002678042,0.000196648,0.002529161,0.000072929,0.178961028,0.002146104,0.024998726
95,0.25607182,0.532536661,0.002719142,0.000199633,0.002567182,0.000074029,0.178443722,0.002150537,0.025237275
96,0.255893257,0.532895429,0.002761004,0.000202674,0.00260592,0.000075149,0.177936552,0.002155037,0.025474977
97,0.255712158,0.533245728,0.002803641,0.000205772,0.002645387,0.00007629,0.177439599,0.002159605,0.02571182
98,0.255528478,0.533587506,0.002847063,0.000208928,0.002685592,0.000077453,0.176952945,0.002164244,0.025947791
99,0.255342172,0.533920711,0.002891283,0.000212142,0.002726549,0.000078637,0.176476673,0.002168953,0.02618288
100,0.255153194,0.53424529,0.002936313,0.000215415,0.002768268,0.000079844,0.176010867,0.002173735,0.026417074
101,0.2549615,0.534561188,0.002982163,0.000218749,0.002810762,0.000081072,0.175555615,0.002178591,0.02665036
102,0.254767041,0.534868349,0.003028846,0.000222145,0.002854042,0.000082324,0.175111004,0.002183522,0.026882728
103,0.254569771,0.535166716,0.003076374,0.000225602,0.002898119,0.000083598,0.174677126,0.002188529,0.027114164
104,0.254369643,0.535456231,0.003124759,0.000229122,0.002943007,0.000084896,0.174254072,0.002193615,0.027344655
105,0.254166608,0.535736836,0.003174012,0.000232707,0.002988716,0.000086217,0.173841936,0.002198779,0.027574188
106,0.253960617,0.53600847,0.003224146,0.000236356,0.003035259,0.000087563,0.173440813,0.002204025,0.027802752
107,0.253751621,0.536271072,0.003275171,0.000240071,0.003082648,0.000088933,0.1730508,0.002209352,0.028030331
108,0.253539571,0.53652458,0.003327101,0.000243852,0.003130894,0.000090328,0.172671996,0.002214764,0.028256913
109,0.253324416,0.53676893,0.003379947,0.000247701,0.003180011,0.000091748,0.172304502,0.002220261,0.028482485
110,0.253106105,0.537004059,0.00343372,0.000251619,0.003230009,0.000093193,0.171948421,0.002225844,0.028707031
111,0.252884587,0.5372299,0.003488432,0.000255606,0.003280901,0.000094664,0.171603855,0.002231516,0.028930539
112,0.25265981,0.537446389,0.003544095,0.000259663,0.003332699,0.000096162,0.17127091,0.002237277,0.029152994
113,0.252431722,0.537653457,0.00360072,0.000263792,0.003385416,0.000097686,0.170949695,0.00224313,0.029374382
114,0.252200271,0.537851037,0.003658319,0.000267992,0.003439062,0.000099236,0.170640318,0.002249076,0.029594689
115,0.251965403,0.53803906,0.003716902,0.000272266,0.003493649,0.000100814,0.17034289,0.002255117,0.029813898
116,0.251727064,0.538217457,0.003776482,0.000276613,0.003549191,0.00010242,0.170057522,0.002261254,0.030031996
117,0.251485202,0.538386157,0.003837068,0.000281035,0.003605698,0.000104053,0.16978433,0.002267489,0.030248968
118,0.251239761,0.538545088,0.003898672,0.000285533,0.003663182,0.000105714,0.169523428,0.002273824,0.030464797
119,0.250990686,0.53869418,0.003961305,0.000290107,0.003721655,0.000107404,0.169274933,0.00228026,0.03067947
120,0.250737924,0.538833359,0.004024976,0.000294759,0.003781128,0.000109123,0.169038964,0.0022868,0.030892969
121,0.250481417,0.538962553,0.004089695,0.000299488,0.003841612,0.000110871,0.168815641,0.002293444,0.031105279
122,0.250221112,0.539081687,0.004155474,0.000304297,0.003903119,0.000112649,0.168605085,0.002300194,0.031316383
123,0.249956951,0.539190688,0.004222321,0.000309185,0.00396566,0.000114456,0.168407419,0.002307053,0.031526267
124,0.249688878,0.539289481,0.004290245,0.000314153,0.004029245,0.000116294,0.168222768,0.002314023,0.031734913
125,0.249416838,0.539377991,0.004359256,0.000319203,0.004093885,0.000118161,0.168051256,0.002321104,0.031942305
126,0.249140773,0.539456143,0.004429363,0.000324335,0.004159591,0.00012006,0.167893011,0.002328299,0.032148425
127,0.248860627,0.539523861,0.004500573,0.00032955,0.004226372,0.00012199,0.167748161,0.002335609,0.032353258
128,0.248576342,0.53958107,0.004572894,0.000334848,0.004294238,0.000123951,0.167616834,0.002343038,0.032556786
129,0.248287862,0.539627693,0.004646335,0.00034023,0.004363199,0.000125943,0.167499162,0.002350585,0.032758991
130,0.247995129,0.539663655,0.004720902,0.000345697,0.004433263,0.000127967,0.167395275,0.002358254,0.032959857
131,0.247698087,0.539688881,0.004796601,0.000351249,0.004504441,0.000130024,0.167305306,0.002366046,0.033159366
132,0.247396677,0.539703293,0.004873439,0.000356887,0.00457674,0.000132112,0.167229388,0.002373964,0.033357499
133,0.247090844,0.539706818,0.004951422,0.000362611,0.004650169,0.000134233,0.167167654,0.002382008,0.03355424
134,0.24678053,0.539699379,0.005030554,0.000368423,0.004724735,0.000136387,0.16712024,0.002390181,0.03374957
135,0.246465678,0.539680902,0.00511084,0.000374322,0.004800446,0.000138574,0.167087281,0.002398485,0.033943472
136,0.246146231,0.539651313,0.005192284,0.000380308,0.004877307,0.000140794,0.167068913,0.002406923,0.034135926
137,0.245822134,0.539610538,0.005274889,0.000386383,0.004955327,0.000143048,0.167065272,0.002415495,0.034326915
138,0.245493328,0.539558505,0.005358657,0.000392546,0.00503451,0.000145335,0.167076495,0.002424204,0.03451642
139,0.24515976,0.53949514,0.00544359,0.000398799,0.005114862,0.000147655,0.16710272,0.002433052,0.034704423
140,0.244821373,0.539420374,0.00552969,0.00040514,0.005196387,0.000150009,0.167144082,0.002442041,0.034890905
141,0.244478111,0.539334135,0.005616956,0.00041157,0.005279089,0.000152397,0.16720072,0.002451173,0.035075848
142,0.244129922,0.539236355,0.005705389,0.00041809,0.005362972,0.00015482,0.167272771,0.00246045,0.035259232
143,0.243776749,0.539126967,0.005794986,0.0004247,0.005448039,0.000157276,0.167360371,0.002469873,0.035441039
144,0.24341854,0.539005904,0.005885746,0.000431399,0.005534292,0.000159766,0.167463658,0.002479446,0.035621249
145,0.243055242,0.538873101,0.005977665,0.000438188,0.005621731,0.00016229,0.167582768,0.00248917,0.035799846
146,0.242686803,0.538728495,0.00607074,0.000445066,0.005710358,0.000164849,0.167717835,0.002499046,0.035976808
147,0.242313172,0.538572027,0.006164965,0.000452033,0.005800172,0.000167441,0.167868995,0.002509078,0.036152117
148,0.241934297,0.538403635,0.006260335,0.000459089,0.005891172,0.000170068,0.168036382,0.002519266,0.036325755
149,0.24155013,0.538223264,0.006356842,0.000466234,0.005983356,0.000172728,0.168220129,0.002529614,0.036497702
150,0.241160622,0.538030859,0.006454478,0.000473468,0.006076721,0.000175423,0.168420367,0.002540123,0.03666794
151,0.240765725,0.537826368,0.006553234,0.000480789,0.006171263,0.000178151,0.168637226,0.002550795,0.03683645
152,0.240365393,0.53760974,0.006653099,0.000488197,0.006266978,0.000180913,0.168870836,0.002561631,0.037003213
153,0.239959581,0.53738093,0.006754062,0.000495692,0.00636386,0.000183708,0.169121323,0.002572635,0.03716821
154,0.239548244,0.537139893,0.00685611,0.000503273,0.006461902,0.000186536,0.169388812,0.002583808,0.037331423
155,0.239131341,0.536886588,0.006959228,0.00051094,0.006561095,0.000189398,0.169673426,0.002595151,0.037492833
156,0.238708831,0.536620979,0.007063402,0.00051869,0.006661431,0.000192292,0.169975286,0.002606667,0.037652422
157,0.238280673,0.53634303,0.007168615,0.000526524,0.0067629,0.000195219,0.170294509,0.002618358,0.037810172
158,0.23784683,0.536052712,0.007274849,0.00053444,0.00686549,0.000198177,0.170631212,0.002630226,0.037966065
